system	model	iptm	ptm	atomic_clash_count_2p4	terminal_atomic_clash_count_2p4	nonterminal_atomic_clash_count_2p4	design_involved_atomic_clash_count_2p4	severe_ca_overlap_count_2p5	effective_interface_edges	effective_edge_list	largest_component	min_chain_degree	valid_c4_network	interface_type_count	interface_type_multiplicities	interface_type_edges	interface_type_design_counts	two_interfaces_each_design_ge3	contact_residue_pairs	interface_positions	design_interface_count	design_interface_fraction	design_interface_positions	native_c74_c121_bonds	interchain_ss_bonds	mean_chain_plddt	min_chain_plddt	mean_chain_ca_rmsd_to_1ova	max_chain_ca_rmsd_to_1ova	cif_path
ova_body_c4_02	seed-1_sample-0	0.84	0.87	2	0	2	2	0	4	A-C,A-D,B-C,B-D	4	2	1	2	2,2	A-C,B-D|A-D,B-C	6,9	1	250	49	13	0.8125	182,191,271,276,278,342,343,345,346,347,349,350,354	4	0	90.83833554124585	90.79805709166848	1.5527140522203267	1.5591148574985658	/root/400083/ova_p3_tetramer_design/experiments/e168_c4_073_reversion_ai_af3_seed1/out_s1/ova_body_c4_02/seed-1_sample-0/ova_body_c4_02_seed-1_sample-0_model.cif
ova_body_c4_02	seed-1_sample-1	0.84	0.87	0	0	0	0	0	6	A-B,A-C,A-D,B-C,B-D,C-D	4	3	1	3	2,2,2	A-B,C-D|A-C,B-D|A-D,B-C	2,6,9	1	251	46	13	0.8125	182,191,271,276,278,342,343,345,346,347,349,350,354	4	0	90.722836746453	90.6658030000993	1.523084331962852	1.531847696857236	/root/400083/ova_p3_tetramer_design/experiments/e168_c4_073_reversion_ai_af3_seed1/out_s1/ova_body_c4_02/seed-1_sample-1/ova_body_c4_02_seed-1_sample-1_model.cif
ova_body_c4_02	seed-1_sample-2	0.84	0.87	0	0	0	0	0	6	A-B,A-C,A-D,B-C,B-D,C-D	4	3	1	3	2,2,2	A-B,C-D|A-C,B-D|A-D,B-C	1,6,8	1	250	51	13	0.8125	182,191,271,276,278,342,343,345,346,347,349,350,354	4	0	90.72377594023789	90.69937820632224	1.6259080724063915	1.6276354791014989	/root/400083/ova_p3_tetramer_design/experiments/e168_c4_073_reversion_ai_af3_seed1/out_s1/ova_body_c4_02/seed-1_sample-2/ova_body_c4_02_seed-1_sample-2_model.cif
ova_body_c4_02	seed-1_sample-3	0.84	0.87	0	0	0	0	0	6	A-B,A-C,A-D,B-C,B-D,C-D	4	3	1	3	2,2,2	A-B,C-D|A-C,B-D|A-D,B-C	2,6,9	1	263	49	13	0.8125	182,191,271,276,278,342,343,345,346,347,349,350,354	4	0	90.76095218114902	90.7358551124217	1.578537098487093	1.5828907583019545	/root/400083/ova_p3_tetramer_design/experiments/e168_c4_073_reversion_ai_af3_seed1/out_s1/ova_body_c4_02/seed-1_sample-3/ova_body_c4_02_seed-1_sample-3_model.cif
ova_body_c4_02	seed-1_sample-4	0.85	0.87	0	0	0	0	0	6	A-B,A-C,A-D,B-C,B-D,C-D	4	3	1	3	2,2,2	A-B,C-D|A-C,B-D|A-D,B-C	1,6,9	1	272	54	13	0.8125	182,191,271,276,278,342,343,345,346,347,349,350,354	4	0	90.71255821514623	90.67468887289571	1.590518701041269	1.5968145425239526	/root/400083/ova_p3_tetramer_design/experiments/e168_c4_073_reversion_ai_af3_seed1/out_s1/ova_body_c4_02/seed-1_sample-4/ova_body_c4_02_seed-1_sample-4_model.cif
ova_body_c4_09	seed-1_sample-0	0.84	0.87	0	0	0	0	0	6	A-B,A-C,A-D,B-C,B-D,C-D	4	3	1	3	2,2,2	A-B,C-D|A-C,B-D|A-D,B-C	1,6,9	1	256	50	13	0.8666666666666667	182,191,271,276,278,342,343,345,346,347,349,350,354	4	0	90.59107515354847	90.55269432067871	1.5879854632388002	1.5956865734281467	/root/400083/ova_p3_tetramer_design/experiments/e168_c4_073_reversion_ai_af3_seed1/out_s1/ova_body_c4_09/seed-1_sample-0/ova_body_c4_09_seed-1_sample-0_model.cif
ova_body_c4_09	seed-1_sample-1	0.84	0.87	2	0	2	2	0	6	A-B,A-C,A-D,B-C,B-D,C-D	4	3	1	3	2,2,2	A-B,C-D|A-C,B-D|A-D,B-C	2,6,9	1	260	49	13	0.8666666666666667	182,191,271,276,278,342,343,345,346,347,349,350,354	4	0	90.70804404718271	90.64207265784704	1.540205867293991	1.5460915286446493	/root/400083/ova_p3_tetramer_design/experiments/e168_c4_073_reversion_ai_af3_seed1/out_s1/ova_body_c4_09/seed-1_sample-1/ova_body_c4_09_seed-1_sample-1_model.cif
ova_body_c4_09	seed-1_sample-2	0.84	0.87	0	0	0	0	0	6	A-B,A-C,A-D,B-C,B-D,C-D	4	3	1	3	2,2,2	A-B,C-D|A-C,B-D|A-D,B-C	2,6,9	1	270	50	13	0.8666666666666667	182,191,271,276,278,342,343,345,346,347,349,350,354	4	0	90.92434585650349	90.8803106614345	1.5632305314153574	1.5748971529915359	/root/400083/ova_p3_tetramer_design/experiments/e168_c4_073_reversion_ai_af3_seed1/out_s1/ova_body_c4_09/seed-1_sample-2/ova_body_c4_09_seed-1_sample-2_model.cif
ova_body_c4_09	seed-1_sample-3	0.84	0.87	0	0	0	0	0	6	A-B,A-C,A-D,B-C,B-D,C-D	4	3	1	3	2,2,2	A-B,C-D|A-C,B-D|A-D,B-C	2,6,9	1	266	49	13	0.8666666666666667	182,191,271,276,278,342,343,345,346,347,349,350,354	4	0	90.73859451471833	90.70502597433298	1.5842796360732625	1.5881994580064014	/root/400083/ova_p3_tetramer_design/experiments/e168_c4_073_reversion_ai_af3_seed1/out_s1/ova_body_c4_09/seed-1_sample-3/ova_body_c4_09_seed-1_sample-3_model.cif
ova_body_c4_09	seed-1_sample-4	0.85	0.88	0	0	0	0	0	6	A-B,A-C,A-D,B-C,B-D,C-D	4	3	1	3	2,2,2	A-B,C-D|A-C,B-D|A-D,B-C	2,6,9	1	279	54	13	0.8666666666666667	182,191,271,276,278,342,343,345,346,347,349,350,354	4	0	90.3775582288831	90.34217597289407	1.5938899791803633	1.5983689304801858	/root/400083/ova_p3_tetramer_design/experiments/e168_c4_073_reversion_ai_af3_seed1/out_s1/ova_body_c4_09/seed-1_sample-4/ova_body_c4_09_seed-1_sample-4_model.cif
