interface_class	left_context	right_context	left_pair	right_pair	left_contacts	right_contacts	jaccard	pass
1	1	2	AC	AC	68	68	0.8378378378378378	1
1	1	3	AC	AC	68	66	0.9142857142857143	1
1	1	4	AC	AC	68	67	0.9014084507042254	1
1	2	3	AC	AC	68	66	0.8108108108108109	1
1	2	4	AC	AC	68	67	0.8	1
1	3	4	AC	AC	66	67	0.9850746268656716	1
2	1	2	AD	AD	36	35	0.8205128205128205	1
2	1	3	AD	AD	36	35	0.918918918918919	1
2	1	4	AD	AD	36	34	0.9444444444444444	1
2	2	3	AD	AD	35	35	0.8918918918918919	1
2	2	4	AD	AD	35	34	0.8648648648648649	1
2	3	4	AD	AD	35	34	0.9714285714285714	1
