submitted_utc	shard	name	job_id	queue_id	mode	status	response
2026-09-02T23:30:09.849768+00:00	1	ky-20260903-1817	t-20260903073007-m5n7d	q-20251224105744-qhrgl	submit	ok	"{     ""ResponseMetadata"": {         ""Action"": ""CreateJob"",         ""Region"": ""cn-beijing"",         ""RequestId"": ""20260903073006C150DD6997416AFAB9B2"",         ""Service"": ""ml_platform"",         ""Version"": ""2024-07-01""     },     ""Result"": {         ""Id"": ""t-20260903073007-m5n7d""     } }"
2026-09-02T23:30:13.132846+00:00	2	ky-20260903-1818	t-20260903073010-mcpx4	q-20251224105744-qhrgl	submit	ok	"{     ""ResponseMetadata"": {         ""Action"": ""CreateJob"",         ""Region"": ""cn-beijing"",         ""RequestId"": ""20260903073010532F44290BB662AFD818"",         ""Service"": ""ml_platform"",         ""Version"": ""2024-07-01""     },     ""Result"": {         ""Id"": ""t-20260903073010-mcpx4""     } }"
2026-09-02T23:30:16.513754+00:00	5	ky-20260903-1821	t-20260903073014-jp9tq	q-20251224105744-qhrgl	submit	ok	"{     ""ResponseMetadata"": {         ""Action"": ""CreateJob"",         ""Region"": ""cn-beijing"",         ""RequestId"": ""20260903073013B661F89067AF2C0D3E59"",         ""Service"": ""ml_platform"",         ""Version"": ""2024-07-01""     },     ""Result"": {         ""Id"": ""t-20260903073014-jp9tq""     } }"
2026-09-02T23:30:19.981353+00:00	6	ky-20260903-1822	t-20260903073017-n8lh6	q-20251224105744-qhrgl	submit	ok	"{     ""ResponseMetadata"": {         ""Action"": ""CreateJob"",         ""Region"": ""cn-beijing"",         ""RequestId"": ""2026090307301795F3A0233F30D32DBD30"",         ""Service"": ""ml_platform"",         ""Version"": ""2024-07-01""     },     ""Result"": {         ""Id"": ""t-20260903073017-n8lh6""     } }"
2026-09-02T23:30:23.391247+00:00	9	ky-20260903-1825	t-20260903073021-49tn7	q-20251224105744-qhrgl	submit	ok	"{     ""ResponseMetadata"": {         ""Action"": ""CreateJob"",         ""Region"": ""cn-beijing"",         ""RequestId"": ""20260903073020F11A29FB5A0C9AB4FE5C"",         ""Service"": ""ml_platform"",         ""Version"": ""2024-07-01""     },     ""Result"": {         ""Id"": ""t-20260903073021-49tn7""     } }"
2026-09-02T23:30:26.955999+00:00	10	ky-20260903-1826	t-20260903073024-z868q	q-20251224105744-qhrgl	submit	ok	"{     ""ResponseMetadata"": {         ""Action"": ""CreateJob"",         ""Region"": ""cn-beijing"",         ""RequestId"": ""20260903073024F95B446A201B7DF8BC16"",         ""Service"": ""ml_platform"",         ""Version"": ""2024-07-01""     },     ""Result"": {         ""Id"": ""t-20260903073024-z868q""     } }"
2026-09-02T23:30:30.445067+00:00	13	ky-20260903-1829	t-20260903073028-chggz	q-20251224105744-qhrgl	submit	ok	"{     ""ResponseMetadata"": {         ""Action"": ""CreateJob"",         ""Region"": ""cn-beijing"",         ""RequestId"": ""202609030730270ED09D48D614CC178397"",         ""Service"": ""ml_platform"",         ""Version"": ""2024-07-01""     },     ""Result"": {         ""Id"": ""t-20260903073028-chggz""     } }"
2026-09-02T23:30:33.916066+00:00	14	ky-20260903-1830	t-20260903073031-vzdfr	q-20251224105744-qhrgl	submit	ok	"{     ""ResponseMetadata"": {         ""Action"": ""CreateJob"",         ""Region"": ""cn-beijing"",         ""RequestId"": ""202609030730314205839B2A35CADAA79D"",         ""Service"": ""ml_platform"",         ""Version"": ""2024-07-01""     },     ""Result"": {         ""Id"": ""t-20260903073031-vzdfr""     } }"
