source	chain_pair	category	unique_residue_pair_types	atom_level_events
ova_body_c4_26_ms25_r02__AF3	A-B	Hydrophobic	7	9
ova_body_c4_26_ms25_r02__AF3	A-B	HydrogenBond	2	2
ova_body_c4_26_ms25_r02__AF3	A-B	SaltBridge	2	2
ova_body_c4_26_ms25_r02__AF3	A-B	PiStacking	0	0
ova_body_c4_26_ms25_r02__AF3	A-B	CationPi	0	0
ova_body_c4_26_ms25_r02__AF3	A-B	VdWContact	8	9
ova_body_c4_26_ms25_r02__AF3	A-C	Hydrophobic	10	16
ova_body_c4_26_ms25_r02__AF3	A-C	HydrogenBond	5	5
ova_body_c4_26_ms25_r02__AF3	A-C	SaltBridge	2	4
ova_body_c4_26_ms25_r02__AF3	A-C	PiStacking	0	0
ova_body_c4_26_ms25_r02__AF3	A-C	CationPi	0	0
ova_body_c4_26_ms25_r02__AF3	A-C	VdWContact	30	71
ova_body_c4_26_ms25_r02__AF3	A-D	Hydrophobic	1	6
ova_body_c4_26_ms25_r02__AF3	A-D	HydrogenBond	0	0
ova_body_c4_26_ms25_r02__AF3	A-D	SaltBridge	0	0
ova_body_c4_26_ms25_r02__AF3	A-D	PiStacking	0	0
ova_body_c4_26_ms25_r02__AF3	A-D	CationPi	0	0
ova_body_c4_26_ms25_r02__AF3	A-D	VdWContact	12	32
ova_body_c4_26_ms25_r02__AF3	B-C	Hydrophobic	2	7
ova_body_c4_26_ms25_r02__AF3	B-C	HydrogenBond	0	0
ova_body_c4_26_ms25_r02__AF3	B-C	SaltBridge	0	0
ova_body_c4_26_ms25_r02__AF3	B-C	PiStacking	0	0
ova_body_c4_26_ms25_r02__AF3	B-C	CationPi	0	0
ova_body_c4_26_ms25_r02__AF3	B-C	VdWContact	12	33
ova_body_c4_26_ms25_r02__AF3	B-D	Hydrophobic	11	17
ova_body_c4_26_ms25_r02__AF3	B-D	HydrogenBond	6	6
ova_body_c4_26_ms25_r02__AF3	B-D	SaltBridge	2	4
ova_body_c4_26_ms25_r02__AF3	B-D	PiStacking	0	0
ova_body_c4_26_ms25_r02__AF3	B-D	CationPi	0	0
ova_body_c4_26_ms25_r02__AF3	B-D	VdWContact	30	80
ova_body_c4_26_ms25_r02__AF3	C-D	Hydrophobic	8	12
ova_body_c4_26_ms25_r02__AF3	C-D	HydrogenBond	2	2
ova_body_c4_26_ms25_r02__AF3	C-D	SaltBridge	2	2
ova_body_c4_26_ms25_r02__AF3	C-D	PiStacking	0	0
ova_body_c4_26_ms25_r02__AF3	C-D	CationPi	0	0
ova_body_c4_26_ms25_r02__AF3	C-D	VdWContact	8	11
