source	chain_pair	category	unique_residue_pair_types	atom_level_events
ova_body_c4_multihit11_ms__AF3	A-B	Hydrophobic	4	27
ova_body_c4_multihit11_ms__AF3	A-B	HydrogenBond	0	0
ova_body_c4_multihit11_ms__AF3	A-B	SaltBridge	0	0
ova_body_c4_multihit11_ms__AF3	A-B	PiStacking	1	1
ova_body_c4_multihit11_ms__AF3	A-B	CationPi	0	0
ova_body_c4_multihit11_ms__AF3	A-B	VdWContact	14	51
ova_body_c4_multihit11_ms__AF3	A-C	Hydrophobic	11	30
ova_body_c4_multihit11_ms__AF3	A-C	HydrogenBond	6	6
ova_body_c4_multihit11_ms__AF3	A-C	SaltBridge	2	2
ova_body_c4_multihit11_ms__AF3	A-C	PiStacking	1	1
ova_body_c4_multihit11_ms__AF3	A-C	CationPi	0	0
ova_body_c4_multihit11_ms__AF3	A-C	VdWContact	23	64
ova_body_c4_multihit11_ms__AF3	A-D	Hydrophobic	8	10
ova_body_c4_multihit11_ms__AF3	A-D	HydrogenBond	2	2
ova_body_c4_multihit11_ms__AF3	A-D	SaltBridge	0	0
ova_body_c4_multihit11_ms__AF3	A-D	PiStacking	0	0
ova_body_c4_multihit11_ms__AF3	A-D	CationPi	0	0
ova_body_c4_multihit11_ms__AF3	A-D	VdWContact	7	10
ova_body_c4_multihit11_ms__AF3	B-C	Hydrophobic	7	9
ova_body_c4_multihit11_ms__AF3	B-C	HydrogenBond	2	2
ova_body_c4_multihit11_ms__AF3	B-C	SaltBridge	0	0
ova_body_c4_multihit11_ms__AF3	B-C	PiStacking	0	0
ova_body_c4_multihit11_ms__AF3	B-C	CationPi	0	0
ova_body_c4_multihit11_ms__AF3	B-C	VdWContact	8	9
ova_body_c4_multihit11_ms__AF3	B-D	Hydrophobic	10	30
ova_body_c4_multihit11_ms__AF3	B-D	HydrogenBond	5	5
ova_body_c4_multihit11_ms__AF3	B-D	SaltBridge	2	2
ova_body_c4_multihit11_ms__AF3	B-D	PiStacking	1	1
ova_body_c4_multihit11_ms__AF3	B-D	CationPi	0	0
ova_body_c4_multihit11_ms__AF3	B-D	VdWContact	24	65
ova_body_c4_multihit11_ms__AF3	C-D	Hydrophobic	4	27
ova_body_c4_multihit11_ms__AF3	C-D	HydrogenBond	0	0
ova_body_c4_multihit11_ms__AF3	C-D	SaltBridge	0	0
ova_body_c4_multihit11_ms__AF3	C-D	PiStacking	1	1
ova_body_c4_multihit11_ms__AF3	C-D	CationPi	0	0
ova_body_c4_multihit11_ms__AF3	C-D	VdWContact	14	55
ova_body_c4_multihit11_ms__Protenix	A-B	Hydrophobic	12	44
ova_body_c4_multihit11_ms__Protenix	A-B	HydrogenBond	1	1
ova_body_c4_multihit11_ms__Protenix	A-B	SaltBridge	2	3
ova_body_c4_multihit11_ms__Protenix	A-B	PiStacking	2	2
ova_body_c4_multihit11_ms__Protenix	A-B	CationPi	0	0
ova_body_c4_multihit11_ms__Protenix	A-B	VdWContact	25	61
ova_body_c4_multihit11_ms__Protenix	A-C	Hydrophobic	8	13
ova_body_c4_multihit11_ms__Protenix	A-C	HydrogenBond	2	2
ova_body_c4_multihit11_ms__Protenix	A-C	SaltBridge	0	0
ova_body_c4_multihit11_ms__Protenix	A-C	PiStacking	1	1
ova_body_c4_multihit11_ms__Protenix	A-C	CationPi	0	0
ova_body_c4_multihit11_ms__Protenix	A-C	VdWContact	11	76
ova_body_c4_multihit11_ms__Protenix	A-D	Hydrophobic	8	59
ova_body_c4_multihit11_ms__Protenix	A-D	HydrogenBond	0	0
ova_body_c4_multihit11_ms__Protenix	A-D	SaltBridge	0	0
ova_body_c4_multihit11_ms__Protenix	A-D	PiStacking	0	0
ova_body_c4_multihit11_ms__Protenix	A-D	CationPi	0	0
ova_body_c4_multihit11_ms__Protenix	A-D	VdWContact	10	113
ova_body_c4_multihit11_ms__Protenix	B-C	Hydrophobic	8	58
ova_body_c4_multihit11_ms__Protenix	B-C	HydrogenBond	0	0
ova_body_c4_multihit11_ms__Protenix	B-C	SaltBridge	0	0
ova_body_c4_multihit11_ms__Protenix	B-C	PiStacking	0	0
ova_body_c4_multihit11_ms__Protenix	B-C	CationPi	0	0
ova_body_c4_multihit11_ms__Protenix	B-C	VdWContact	12	111
ova_body_c4_multihit11_ms__Protenix	B-D	Hydrophobic	8	13
ova_body_c4_multihit11_ms__Protenix	B-D	HydrogenBond	3	3
ova_body_c4_multihit11_ms__Protenix	B-D	SaltBridge	0	0
ova_body_c4_multihit11_ms__Protenix	B-D	PiStacking	1	1
ova_body_c4_multihit11_ms__Protenix	B-D	CationPi	0	0
ova_body_c4_multihit11_ms__Protenix	B-D	VdWContact	11	91
ova_body_c4_multihit11_ms__Protenix	C-D	Hydrophobic	12	44
ova_body_c4_multihit11_ms__Protenix	C-D	HydrogenBond	1	1
ova_body_c4_multihit11_ms__Protenix	C-D	SaltBridge	2	2
ova_body_c4_multihit11_ms__Protenix	C-D	PiStacking	2	2
ova_body_c4_multihit11_ms__Protenix	C-D	CationPi	0	0
ova_body_c4_multihit11_ms__Protenix	C-D	VdWContact	24	61
