system	kind	n_chains	n_models	expected_models	complete	median_iptm	max_iptm	median_ptm	median_min_ova_plddt	median_min_module_plddt	median_min_binder_plddt	median_min_incident_iptm	median_contact_pair_iptm	median_contact_pair_pae	median_total_contacts	median_ova_contacts	median_module_contacts	full_connected_fraction	module_connected_fraction	unclashed_fraction	median_interface_jaccard	best_model	best_iptm	best_min_incident_iptm	best_cif
ova_body_c4_01	ova_body_c4_candidate	4	15	15	1	0.18	0.19	0.37	82.08	nan	nan	0.13	0.12	25.71	229.0	229.0	0.0	1.0	0.0	1.0	0.3605	seed-3_sample-1	0.19	0.17	experiments/e27_ova_body_c4_screen/out_s0/ova_body_c4_01/seed-3_sample-1/ova_body_c4_01_seed-3_sample-1_model.cif
ova_body_c4_02	ova_body_c4_candidate	4	15	15	1	0.19	0.21	0.38	82.22	nan	nan	0.16	0.13	25.265	235.0	235.0	0.0	1.0	0.0	1.0	0.4048	seed-3_sample-2	0.21	0.16	experiments/e27_ova_body_c4_screen/out_s1/ova_body_c4_02/seed-3_sample-2/ova_body_c4_02_seed-3_sample-2_model.cif
ova_body_c4_03	ova_body_c4_candidate	4	15	15	1	0.21	0.33	0.39	84.53	nan	nan	0.2	0.13	24.47	269.0	269.0	0.0	1.0	0.0	1.0	0.4865	seed-1_sample-4	0.33	0.27	experiments/e27_ova_body_c4_screen/out_s2/ova_body_c4_03/seed-1_sample-4/ova_body_c4_03_seed-1_sample-4_model.cif
ova_body_c4_04	ova_body_c4_candidate	4	15	15	1	0.2	0.27	0.39	85.18	nan	nan	0.19	0.13	24.9	277.0	277.0	0.0	1.0	0.0	1.0	0.4536	seed-1_sample-1	0.27	0.27	experiments/e27_ova_body_c4_screen/out_s3/ova_body_c4_04/seed-1_sample-1/ova_body_c4_04_seed-1_sample-1_model.cif
ova_body_c4_05	ova_body_c4_candidate	4	15	15	1	0.23	0.29	0.41	85.62	nan	nan	0.24	0.14	24.25	273.0	273.0	0.0	1.0	0.0	1.0	0.4048	seed-3_sample-4	0.29	0.26	experiments/e27_ova_body_c4_screen/out_s4/ova_body_c4_05/seed-3_sample-4/ova_body_c4_05_seed-3_sample-4_model.cif
ova_body_c4_06	ova_body_c4_candidate	4	15	15	1	0.24	0.27	0.41	85.72	nan	nan	0.24	0.14	24.145	311.0	311.0	0.0	1.0	0.0	1.0	0.5063	seed-2_sample-2	0.27	0.28	experiments/e27_ova_body_c4_screen/out_s5/ova_body_c4_06/seed-2_sample-2/ova_body_c4_06_seed-2_sample-2_model.cif
ova_body_c4_07	ova_body_c4_candidate	4	15	15	1	0.21	0.25	0.39	85.27	nan	nan	0.22	0.145	23.82	264.0	264.0	0.0	1.0	0.0	1.0	0.4157	seed-2_sample-0	0.25	0.26	experiments/e27_ova_body_c4_screen/out_s6/ova_body_c4_07/seed-2_sample-0/ova_body_c4_07_seed-2_sample-0_model.cif
ova_body_c4_08	ova_body_c4_candidate	4	15	15	1	0.23	0.32	0.41	85.56	nan	nan	0.23	0.14	24.405	275.0	275.0	0.0	1.0	0.0	1.0	0.4706	seed-3_sample-4	0.32	0.28	experiments/e27_ova_body_c4_screen/out_s7/ova_body_c4_08/seed-3_sample-4/ova_body_c4_08_seed-3_sample-4_model.cif
