name	candidate	shard	kind	n_chains	chain_ids	chain_length	ova_ranges	module_ranges	architecture	seeds	expected_samples	description	source_input_json	input_json
ova_body_c4_23_ms25_r01_c1	ova_body_c4_23_ms25_r01	0	final20_stoichiometry	1	A	386	1-386	0-0	pure OVA homooligomer competition	3	15	ova_body_c4_23_ms25_r01 forced C1; no templates; matched OVA MSA	/root/400083/ova_p3_tetramer_design/experiments/e303_c4_cleanbridge_allele_ai_af3_seed1/in_s6/ova_body_c4_23.json	/root/400083/ova_p3_tetramer_design/experiments/current_pending_v1_screen/ova_body_c4_23_ms25_r01/stoichiometry_af3/in_s0/ova_body_c4_23_ms25_r01_c1.json
ova_body_c4_23_ms25_r01_c2	ova_body_c4_23_ms25_r01	1	final20_stoichiometry	2	AB	386,386	1-386;1-386	0-0;0-0	pure OVA homooligomer competition	3	15	ova_body_c4_23_ms25_r01 forced C2; no templates; matched OVA MSA	/root/400083/ova_p3_tetramer_design/experiments/e303_c4_cleanbridge_allele_ai_af3_seed1/in_s6/ova_body_c4_23.json	/root/400083/ova_p3_tetramer_design/experiments/current_pending_v1_screen/ova_body_c4_23_ms25_r01/stoichiometry_af3/in_s1/ova_body_c4_23_ms25_r01_c2.json
ova_body_c4_23_ms25_r01_c3	ova_body_c4_23_ms25_r01	2	final20_stoichiometry	3	ABC	386,386,386	1-386;1-386;1-386	0-0;0-0;0-0	pure OVA homooligomer competition	3	15	ova_body_c4_23_ms25_r01 forced C3; no templates; matched OVA MSA	/root/400083/ova_p3_tetramer_design/experiments/e303_c4_cleanbridge_allele_ai_af3_seed1/in_s6/ova_body_c4_23.json	/root/400083/ova_p3_tetramer_design/experiments/current_pending_v1_screen/ova_body_c4_23_ms25_r01/stoichiometry_af3/in_s2/ova_body_c4_23_ms25_r01_c3.json
ova_body_c4_23_ms25_r01_c5	ova_body_c4_23_ms25_r01	3	final20_stoichiometry	5	ABCDE	386,386,386,386,386	1-386;1-386;1-386;1-386;1-386	0-0;0-0;0-0;0-0;0-0	pure OVA homooligomer competition	3	15	ova_body_c4_23_ms25_r01 forced C5; no templates; matched OVA MSA	/root/400083/ova_p3_tetramer_design/experiments/e303_c4_cleanbridge_allele_ai_af3_seed1/in_s6/ova_body_c4_23.json	/root/400083/ova_p3_tetramer_design/experiments/current_pending_v1_screen/ova_body_c4_23_ms25_r01/stoichiometry_af3/in_s3/ova_body_c4_23_ms25_r01_c5.json
ova_body_c4_23_ms25_r01_c6	ova_body_c4_23_ms25_r01	4	final20_stoichiometry	6	ABCDEF	386,386,386,386,386,386	1-386;1-386;1-386;1-386;1-386;1-386	0-0;0-0;0-0;0-0;0-0;0-0	pure OVA homooligomer competition	3	15	ova_body_c4_23_ms25_r01 forced C6; no templates; matched OVA MSA	/root/400083/ova_p3_tetramer_design/experiments/e303_c4_cleanbridge_allele_ai_af3_seed1/in_s6/ova_body_c4_23.json	/root/400083/ova_p3_tetramer_design/experiments/current_pending_v1_screen/ova_body_c4_23_ms25_r01/stoichiometry_af3/in_s4/ova_body_c4_23_ms25_r01_c6.json
