submitted_utc	shard	name	job_id	queue_id	mode	status	response
2026-08-31T03:34:35.781529+00:00	0	ky-20260831-249	t-20260831113433-hgb7x	q-20251224105744-qhrgl	submit	ok	"{     ""ResponseMetadata"": {         ""Action"": ""CreateJob"",         ""Region"": ""cn-beijing"",         ""RequestId"": ""202608311134324A8E897D0BBA5265605D"",         ""Service"": ""ml_platform"",         ""Version"": ""2024-07-01""     },     ""Result"": {         ""Id"": ""t-20260831113433-hgb7x""     } }"
2026-08-31T03:34:39.951698+00:00	1	ky-20260831-250	t-20260831113437-xqqc7	q-20251224105744-qhrgl	submit	ok	"{     ""ResponseMetadata"": {         ""Action"": ""CreateJob"",         ""Region"": ""cn-beijing"",         ""RequestId"": ""202608311134364828A36A4D3DF27427B9"",         ""Service"": ""ml_platform"",         ""Version"": ""2024-07-01""     },     ""Result"": {         ""Id"": ""t-20260831113437-xqqc7""     } }"
2026-08-31T03:34:44.235668+00:00	2	ky-20260831-251	t-20260831113441-kl9ln	q-20251224105744-qhrgl	submit	ok	"{     ""ResponseMetadata"": {         ""Action"": ""CreateJob"",         ""Region"": ""cn-beijing"",         ""RequestId"": ""20260831113440340E0862157C87B4A9B5"",         ""Service"": ""ml_platform"",         ""Version"": ""2024-07-01""     },     ""Result"": {         ""Id"": ""t-20260831113441-kl9ln""     } }"
2026-08-31T03:34:48.040845+00:00	3	ky-20260831-252	t-20260831113445-nms6n	q-20251224105744-qhrgl	submit	ok	"{     ""ResponseMetadata"": {         ""Action"": ""CreateJob"",         ""Region"": ""cn-beijing"",         ""RequestId"": ""20260831113444485C095BC0749C01FB1A"",         ""Service"": ""ml_platform"",         ""Version"": ""2024-07-01""     },     ""Result"": {         ""Id"": ""t-20260831113445-nms6n""     } }"
2026-08-31T03:34:51.474710+00:00	4	ky-20260831-253	t-20260831113449-s5qwf	q-20251224105744-qhrgl	submit	ok	"{     ""ResponseMetadata"": {         ""Action"": ""CreateJob"",         ""Region"": ""cn-beijing"",         ""RequestId"": ""20260831113448116AF925033CA2976FA1"",         ""Service"": ""ml_platform"",         ""Version"": ""2024-07-01""     },     ""Result"": {         ""Id"": ""t-20260831113449-s5qwf""     } }"
2026-08-31T03:34:55.079389+00:00	5	ky-20260831-254	t-20260831113452-h6st9	q-20251224105744-qhrgl	submit	ok	"{     ""ResponseMetadata"": {         ""Action"": ""CreateJob"",         ""Region"": ""cn-beijing"",         ""RequestId"": ""202608311134527217ABE30599CA6D232B"",         ""Service"": ""ml_platform"",         ""Version"": ""2024-07-01""     },     ""Result"": {         ""Id"": ""t-20260831113452-h6st9""     } }"
2026-08-31T03:34:58.529617+00:00	6	ky-20260831-255	t-20260831113456-2zkpw	q-20251224105744-qhrgl	submit	ok	"{     ""ResponseMetadata"": {         ""Action"": ""CreateJob"",         ""Region"": ""cn-beijing"",         ""RequestId"": ""202608311134557630045182BA096816EC"",         ""Service"": ""ml_platform"",         ""Version"": ""2024-07-01""     },     ""Result"": {         ""Id"": ""t-20260831113456-2zkpw""     } }"
2026-08-31T03:35:01.647036+00:00	7	ky-20260831-256	t-20260831113459-lrrx6	q-20251224105744-qhrgl	submit	ok	"{     ""ResponseMetadata"": {         ""Action"": ""CreateJob"",         ""Region"": ""cn-beijing"",         ""RequestId"": ""2026083111345954191D186BB0B24853B9"",         ""Service"": ""ml_platform"",         ""Version"": ""2024-07-01""     },     ""Result"": {         ""Id"": ""t-20260831113459-lrrx6""     } }"
