candidate_index	source_name	task_index	context	family	order_index	design_nll	chain_a_nll	chain_b_nll	chain_c_nll	chain_d_nll	chain_spread
0	OVA-C4-IPTM90-405	7	ova073_rosetta_bb4	OVA073_ROSETTA	0	1.1426277160644531	1.123807668685913	1.1890138387680054	1.0926581621170044	1.1650311946868896	0.09635567665100098
0	OVA-C4-IPTM90-405	7	ova073_rosetta_bb4	OVA073_ROSETTA	1	1.1299240589141846	1.170199990272522	1.0985873937606812	1.0260863304138184	1.2248224020004272	0.1987360715866089
0	OVA-C4-IPTM90-405	7	ova073_rosetta_bb4	OVA073_ROSETTA	2	1.1389228105545044	1.123934268951416	1.082883596420288	1.199360728263855	1.1495130062103271	0.1164771318435669
0	OVA-C4-IPTM90-405	7	ova073_rosetta_bb4	OVA073_ROSETTA	3	1.1447415351867676	1.045630931854248	1.2651128768920898	1.1690276861190796	1.0991944074630737	0.2194819450378418
1	OVA-C4-IPTM90-151	7	ova073_rosetta_bb4	OVA073_ROSETTA	0	1.1254099607467651	1.1129883527755737	1.131376028060913	1.0998625755310059	1.157413363456726	0.057550787925720215
1	OVA-C4-IPTM90-151	7	ova073_rosetta_bb4	OVA073_ROSETTA	1	1.1114658117294312	1.1760075092315674	1.0493168830871582	1.0069633722305298	1.2135753631591797	0.2066119909286499
1	OVA-C4-IPTM90-151	7	ova073_rosetta_bb4	OVA073_ROSETTA	2	1.1272447109222412	1.1370619535446167	1.0537885427474976	1.17423415184021	1.1438946723937988	0.1204456090927124
1	OVA-C4-IPTM90-151	7	ova073_rosetta_bb4	OVA073_ROSETTA	3	1.0903072357177734	0.9413866996765137	1.234757423400879	1.1065102815628052	1.0785748958587646	0.29337072372436523
2	OVA-C4-IPTM90-021	7	ova073_rosetta_bb4	OVA073_ROSETTA	0	1.128309965133667	1.1325081586837769	1.1316072940826416	1.091105580329895	1.1580185890197754	0.06691300868988037
2	OVA-C4-IPTM90-021	7	ova073_rosetta_bb4	OVA073_ROSETTA	1	1.1167190074920654	1.1782540082931519	1.0374506711959839	1.0236212015151978	1.2275501489639282	0.20392894744873047
2	OVA-C4-IPTM90-021	7	ova073_rosetta_bb4	OVA073_ROSETTA	2	1.1234675645828247	1.1357187032699585	1.0455100536346436	1.1912589073181152	1.121382474899292	0.14574885368347168
2	OVA-C4-IPTM90-021	7	ova073_rosetta_bb4	OVA073_ROSETTA	3	1.0975282192230225	0.9486658573150635	1.2491041421890259	1.1164309978485107	1.0759122371673584	0.3004382848739624
3	OVA-C4-IPTM90-415	7	ova073_rosetta_bb4	OVA073_ROSETTA	0	1.1446595191955566	1.0925897359848022	1.1781668663024902	1.1210633516311646	1.1868187189102173	0.09422898292541504
3	OVA-C4-IPTM90-415	7	ova073_rosetta_bb4	OVA073_ROSETTA	1	1.129013180732727	1.2010198831558228	1.1009191274642944	1.0058475732803345	1.208266019821167	0.20241844654083252
3	OVA-C4-IPTM90-415	7	ova073_rosetta_bb4	OVA073_ROSETTA	2	1.1578491926193237	1.161534070968628	1.1037434339523315	1.1954268217086792	1.1706923246383667	0.09168338775634766
3	OVA-C4-IPTM90-415	7	ova073_rosetta_bb4	OVA073_ROSETTA	3	1.1224550008773804	0.9678964614868164	1.2817679643630981	1.111564040184021	1.1285918951034546	0.31387150287628174
4	OVA-C4-IPTM90-466	7	ova073_rosetta_bb4	OVA073_ROSETTA	0	1.129486083984375	1.138543725013733	1.1564909219741821	1.0844783782958984	1.1384319067001343	0.07201254367828369
4	OVA-C4-IPTM90-466	7	ova073_rosetta_bb4	OVA073_ROSETTA	1	1.125357747077942	1.1777633428573608	1.067991018295288	1.023559331893921	1.2321178913116455	0.2085585594177246
4	OVA-C4-IPTM90-466	7	ova073_rosetta_bb4	OVA073_ROSETTA	2	1.1377453804016113	1.1454029083251953	1.0625919103622437	1.202285885810852	1.1407010555267334	0.1396939754486084
4	OVA-C4-IPTM90-466	7	ova073_rosetta_bb4	OVA073_ROSETTA	3	1.1452127695083618	1.0574074983596802	1.257851481437683	1.1872555017471313	1.0783367156982422	0.20044398307800293
5	OVA-C4-IPTM90-262	7	ova073_rosetta_bb4	OVA073_ROSETTA	0	1.148074746131897	1.1628764867782593	1.1603037118911743	1.1014307737350464	1.1676883697509766	0.06625759601593018
5	OVA-C4-IPTM90-262	7	ova073_rosetta_bb4	OVA073_ROSETTA	1	1.1395597457885742	1.194193720817566	1.0747284889221191	1.043377161026001	1.2459394931793213	0.2025623321533203
5	OVA-C4-IPTM90-262	7	ova073_rosetta_bb4	OVA073_ROSETTA	2	1.1521803140640259	1.1691656112670898	1.072229027748108	1.214551329612732	1.1527754068374634	0.14232230186462402
5	OVA-C4-IPTM90-262	7	ova073_rosetta_bb4	OVA073_ROSETTA	3	1.1210649013519287	0.9646098017692566	1.2723802328109741	1.151477336883545	1.095792293548584	0.30777043104171753
