submitted_utc	shard	tag	job_id	queue_id	mode	status	response
2026-08-30T09:26:54.563201+00:00	0	ky-070	t-20260830172652-2fd56	q-20251224105744-qhrgl	submit	ok	"{     ""ResponseMetadata"": {         ""Action"": ""CreateJob"",         ""Region"": ""cn-beijing"",         ""RequestId"": ""2026083017265128A1CD71A081ACA4402F"",         ""Service"": ""ml_platform"",         ""Version"": ""2024-07-01""     },     ""Result"": {         ""Id"": ""t-20260830172652-2fd56""     } }"
2026-08-30T09:26:58.095184+00:00	1	ky-071	t-20260830172655-dctqr	q-20251224105744-qhrgl	submit	ok	"{     ""ResponseMetadata"": {         ""Action"": ""CreateJob"",         ""Region"": ""cn-beijing"",         ""RequestId"": ""202608301726554FAD201EA389436AECCD"",         ""Service"": ""ml_platform"",         ""Version"": ""2024-07-01""     },     ""Result"": {         ""Id"": ""t-20260830172655-dctqr""     } }"
2026-08-30T09:27:01.544083+00:00	2	ky-072	t-20260830172659-85v8s	q-20251224105744-qhrgl	submit	ok	"{     ""ResponseMetadata"": {         ""Action"": ""CreateJob"",         ""Region"": ""cn-beijing"",         ""RequestId"": ""202608301726583F89C29C5F2B743AF497"",         ""Service"": ""ml_platform"",         ""Version"": ""2024-07-01""     },     ""Result"": {         ""Id"": ""t-20260830172659-85v8s""     } }"
2026-08-30T09:27:05.357080+00:00	3	ky-073	t-20260830172702-xk4rm	q-20251224105744-qhrgl	submit	ok	"{     ""ResponseMetadata"": {         ""Action"": ""CreateJob"",         ""Region"": ""cn-beijing"",         ""RequestId"": ""2026083017270284A7ED87156C51E53E0C"",         ""Service"": ""ml_platform"",         ""Version"": ""2024-07-01""     },     ""Result"": {         ""Id"": ""t-20260830172702-xk4rm""     } }"
