system	model	iptm	has_clash	intended_pairs	expected_ss_bonds	observed_ss_bonds	chain_component	full_ss_ring	native_c74_c121_bonds	unexpected_ss_bonds	chemically_clean_ring	median_ss_distance_a	bonds_json	unexpected_bonds_json	cif_path
ova_body_c4_01_n2	seed-1_sample-0	0.51	0.0	96-190;155-196	4	2	2	0	2	0	0	2.232507348060608	"[[""B"", ""A"", 96, 190, 2.1946191787719727], [""A"", ""B"", 96, 190, 2.270395517349243]]"	[]	experiments/e46_c23neg_ai01_stoichiometry/out_s0/ova_body_c4_01_n2/seed-1_sample-0/ova_body_c4_01_n2_seed-1_sample-0_model.cif
ova_body_c4_01_n2	seed-1_sample-1	0.51	0.0	96-190;155-196	4	4	2	1	2	0	1	2.214237093925476	"[[""A"", ""B"", 96, 190, 2.0808212757110596], [""B"", ""A"", 96, 190, 2.1111066341400146], [""A"", ""B"", 155, 196, 2.3173675537109375], [""B"", ""A"", 155, 196, 2.4251317977905273]]"	[]	experiments/e46_c23neg_ai01_stoichiometry/out_s0/ova_body_c4_01_n2/seed-1_sample-1/ova_body_c4_01_n2_seed-1_sample-1_model.cif
ova_body_c4_01_n2	seed-1_sample-2	0.55	0.0	96-190;155-196	4	4	2	1	2	0	1	2.2123080492019653	"[[""B"", ""A"", 96, 190, 2.1289851665496826], [""A"", ""B"", 96, 190, 2.15852427482605], [""A"", ""B"", 155, 196, 2.266091823577881], [""B"", ""A"", 155, 196, 2.306086301803589]]"	[]	experiments/e46_c23neg_ai01_stoichiometry/out_s0/ova_body_c4_01_n2/seed-1_sample-2/ova_body_c4_01_n2_seed-1_sample-2_model.cif
ova_body_c4_01_n2	seed-1_sample-3	0.53	0.0	96-190;155-196	4	3	2	0	2	0	0	2.1297366619110107	"[[""A"", ""B"", 96, 190, 2.0796315670013428], [""B"", ""A"", 96, 190, 2.1297366619110107], [""A"", ""B"", 155, 196, 2.417466402053833]]"	[]	experiments/e46_c23neg_ai01_stoichiometry/out_s0/ova_body_c4_01_n2/seed-1_sample-3/ova_body_c4_01_n2_seed-1_sample-3_model.cif
ova_body_c4_01_n2	seed-1_sample-4	0.57	0.0	96-190;155-196	4	2	2	0	2	0	0	2.3773919343948364	"[[""A"", ""B"", 155, 196, 2.3613760471343994], [""B"", ""A"", 155, 196, 2.3934078216552734]]"	[]	experiments/e46_c23neg_ai01_stoichiometry/out_s0/ova_body_c4_01_n2/seed-1_sample-4/ova_body_c4_01_n2_seed-1_sample-4_model.cif
ova_body_c4_01_n2	seed-2_sample-0	0.54	0.0	96-190;155-196	4	4	2	1	2	0	1	2.33518648147583	"[[""B"", ""A"", 96, 190, 2.3153977394104004], [""A"", ""B"", 96, 190, 2.338736057281494], [""A"", ""B"", 155, 196, 2.331636905670166], [""B"", ""A"", 155, 196, 2.433483839035034]]"	[]	experiments/e46_c23neg_ai01_stoichiometry/out_s0/ova_body_c4_01_n2/seed-2_sample-0/ova_body_c4_01_n2_seed-2_sample-0_model.cif
ova_body_c4_01_n2	seed-2_sample-1	0.58	0.0	96-190;155-196	4	4	2	1	2	0	1	2.182851791381836	"[[""B"", ""A"", 96, 190, 2.0678815841674805], [""A"", ""B"", 96, 190, 2.1117935180664062], [""B"", ""A"", 155, 196, 2.2539100646972656], [""A"", ""B"", 155, 196, 2.3336610794067383]]"	[]	experiments/e46_c23neg_ai01_stoichiometry/out_s0/ova_body_c4_01_n2/seed-2_sample-1/ova_body_c4_01_n2_seed-2_sample-1_model.cif
ova_body_c4_01_n2	seed-2_sample-2	0.57	0.0	96-190;155-196	4	3	2	0	2	0	0	2.0778751373291016	"[[""B"", ""A"", 96, 190, 2.0654749870300293], [""A"", ""B"", 96, 190, 2.0778751373291016], [""B"", ""A"", 155, 196, 2.5200276374816895]]"	[]	experiments/e46_c23neg_ai01_stoichiometry/out_s0/ova_body_c4_01_n2/seed-2_sample-2/ova_body_c4_01_n2_seed-2_sample-2_model.cif
ova_body_c4_01_n2	seed-2_sample-3	0.51	0.0	96-190;155-196	4	4	2	1	2	0	1	2.36036217212677	"[[""B"", ""A"", 96, 190, 2.1605942249298096], [""A"", ""B"", 96, 190, 2.1628992557525635], [""B"", ""A"", 155, 196, 2.5578250885009766], [""A"", ""B"", 155, 196, 2.558223009109497]]"	[]	experiments/e46_c23neg_ai01_stoichiometry/out_s0/ova_body_c4_01_n2/seed-2_sample-3/ova_body_c4_01_n2_seed-2_sample-3_model.cif
ova_body_c4_01_n2	seed-2_sample-4	0.5	0.0	96-190;155-196	4	2	2	0	2	0	0	2.1720248460769653	"[[""A"", ""B"", 96, 190, 2.167335033416748], [""B"", ""A"", 96, 190, 2.1767146587371826]]"	[]	experiments/e46_c23neg_ai01_stoichiometry/out_s0/ova_body_c4_01_n2/seed-2_sample-4/ova_body_c4_01_n2_seed-2_sample-4_model.cif
ova_body_c4_01_n2	seed-3_sample-0	0.55	0.0	96-190;155-196	4	4	2	1	2	0	1	2.2252578735351562	"[[""A"", ""B"", 96, 190, 2.0505902767181396], [""B"", ""A"", 96, 190, 2.1032347679138184], [""A"", ""B"", 155, 196, 2.347280979156494], [""B"", ""A"", 155, 196, 2.451746940612793]]"	[]	experiments/e46_c23neg_ai01_stoichiometry/out_s0/ova_body_c4_01_n2/seed-3_sample-0/ova_body_c4_01_n2_seed-3_sample-0_model.cif
ova_body_c4_01_n2	seed-3_sample-1	0.58	0.0	96-190;155-196	4	4	2	1	2	0	1	2.196341037750244	"[[""B"", ""A"", 96, 190, 2.045639991760254], [""A"", ""B"", 96, 190, 2.0638768672943115], [""A"", ""B"", 155, 196, 2.3288052082061768], [""B"", ""A"", 155, 196, 2.3482372760772705]]"	[]	experiments/e46_c23neg_ai01_stoichiometry/out_s0/ova_body_c4_01_n2/seed-3_sample-1/ova_body_c4_01_n2_seed-3_sample-1_model.cif
ova_body_c4_01_n2	seed-3_sample-2	0.5	0.0	96-190;155-196	4	4	2	1	2	0	1	2.2288405895233154	"[[""A"", ""B"", 96, 190, 2.1125917434692383], [""B"", ""A"", 96, 190, 2.1175522804260254], [""B"", ""A"", 155, 196, 2.3401288986206055], [""A"", ""B"", 155, 196, 2.3787307739257812]]"	[]	experiments/e46_c23neg_ai01_stoichiometry/out_s0/ova_body_c4_01_n2/seed-3_sample-2/ova_body_c4_01_n2_seed-3_sample-2_model.cif
ova_body_c4_01_n2	seed-3_sample-3	0.49	0.0	96-190;155-196	4	4	2	1	2	0	1	2.240179181098938	"[[""A"", ""B"", 96, 190, 2.0665395259857178], [""B"", ""A"", 96, 190, 2.0705504417419434], [""B"", ""A"", 155, 196, 2.4098079204559326], [""A"", ""B"", 155, 196, 2.5054094791412354]]"	[]	experiments/e46_c23neg_ai01_stoichiometry/out_s0/ova_body_c4_01_n2/seed-3_sample-3/ova_body_c4_01_n2_seed-3_sample-3_model.cif
ova_body_c4_01_n2	seed-3_sample-4	0.63	0.0	96-190;155-196	4	2	2	0	2	0	0	2.4602679014205933	"[[""B"", ""A"", 155, 196, 2.4282724857330322], [""A"", ""B"", 155, 196, 2.4922633171081543]]"	[]	experiments/e46_c23neg_ai01_stoichiometry/out_s0/ova_body_c4_01_n2/seed-3_sample-4/ova_body_c4_01_n2_seed-3_sample-4_model.cif
ova_body_c4_01_n3	seed-1_sample-0	0.84	0.0	96-190;155-196	6	6	3	1	3	0	1	1.9946231245994568	"[[""C"", ""A"", 96, 190, 1.9074385166168213], [""B"", ""C"", 96, 190, 1.9088363647460938], [""A"", ""B"", 96, 190, 1.930381417274475], [""C"", ""A"", 155, 196, 2.0588648319244385], [""B"", ""C"", 155, 196, 2.059431314468384], [""A"", ""B"", 155, 196, 2.0818724632263184]]"	[]	experiments/e46_c23neg_ai01_stoichiometry/out_s1/ova_body_c4_01_n3/seed-1_sample-0/ova_body_c4_01_n3_seed-1_sample-0_model.cif
ova_body_c4_01_n3	seed-1_sample-1	0.84	0.0	96-190;155-196	6	6	3	1	3	0	1	2.0027154088020325	"[[""A"", ""B"", 96, 190, 1.9347792863845825], [""B"", ""C"", 96, 190, 1.9481920003890991], [""C"", ""A"", 96, 190, 1.9573696851730347], [""B"", ""C"", 155, 196, 2.0480611324310303], [""A"", ""B"", 155, 196, 2.053474187850952], [""C"", ""A"", 155, 196, 2.0624711513519287]]"	[]	experiments/e46_c23neg_ai01_stoichiometry/out_s1/ova_body_c4_01_n3/seed-1_sample-1/ova_body_c4_01_n3_seed-1_sample-1_model.cif
ova_body_c4_01_n3	seed-1_sample-2	0.84	0.0	96-190;155-196	6	6	3	1	3	0	1	2.0360751152038574	"[[""C"", ""A"", 96, 190, 1.9577796459197998], [""A"", ""B"", 96, 190, 1.9674310684204102], [""B"", ""C"", 96, 190, 1.9751110076904297], [""A"", ""B"", 155, 196, 2.097039222717285], [""B"", ""C"", 155, 196, 2.1030502319335938], [""C"", ""A"", 155, 196, 2.109635829925537]]"	[]	experiments/e46_c23neg_ai01_stoichiometry/out_s1/ova_body_c4_01_n3/seed-1_sample-2/ova_body_c4_01_n3_seed-1_sample-2_model.cif
