system	model	iptm	ptm	atomic_clash_count_2p4	terminal_atomic_clash_count_2p4	nonterminal_atomic_clash_count_2p4	design_involved_atomic_clash_count_2p4	severe_ca_overlap_count_2p5	effective_interface_edges	effective_edge_list	largest_component	min_chain_degree	valid_c4_network	interface_type_count	interface_type_multiplicities	interface_type_edges	interface_type_design_counts	two_interfaces_each_design_ge3	contact_residue_pairs	interface_positions	design_interface_count	design_interface_fraction	design_interface_positions	native_c74_c121_bonds	interchain_ss_bonds	mean_chain_plddt	min_chain_plddt	mean_chain_ca_rmsd_to_1ova	max_chain_ca_rmsd_to_1ova	cif_path
ova_body_c4_05_ms25_r01	seed-3_sample-0	0.82	0.85	0	0	0	0	0	4	A-C,A-D,B-C,B-D	4	2	1	2	2,2	A-C,B-D|A-D,B-C	3,8	1	230	46	10	0.7692307692307693	191,271,276,278,345,346,347,349,350,354	4	0	89.7222603120952	89.68150262387923	1.541678063671322	1.5470186220539768	/root/400083/ova_p3_tetramer_design/experiments/e300_e299_top4_af3_multiseed/out_s1/ova_body_c4_05_ms25_r01/seed-3_sample-0/ova_body_c4_05_ms25_r01_seed-3_sample-0_model.cif
ova_body_c4_05_ms25_r01	seed-3_sample-1	0.81	0.85	0	0	0	0	0	6	A-B,A-C,A-D,B-C,B-D,C-D	4	3	1	3	2,2,2	A-B,C-D|A-C,B-D|A-D,B-C	1,3,8	1	221	43	10	0.7692307692307693	191,271,276,278,345,346,347,349,350,354	4	0	89.97113335070833	89.93904130570012	1.5642706526503625	1.5670876181449307	/root/400083/ova_p3_tetramer_design/experiments/e300_e299_top4_af3_multiseed/out_s1/ova_body_c4_05_ms25_r01/seed-3_sample-1/ova_body_c4_05_ms25_r01_seed-3_sample-1_model.cif
ova_body_c4_05_ms25_r01	seed-3_sample-2	0.81	0.84	0	0	0	0	0	4	A-C,A-D,B-C,B-D	4	2	1	2	2,2	A-C,B-D|A-D,B-C	3,8	1	227	45	10	0.7692307692307693	191,271,276,278,345,346,347,349,350,354	4	0	90.39141194684518	90.37031091680181	1.5481230604761078	1.5574544909601769	/root/400083/ova_p3_tetramer_design/experiments/e300_e299_top4_af3_multiseed/out_s1/ova_body_c4_05_ms25_r01/seed-3_sample-2/ova_body_c4_05_ms25_r01_seed-3_sample-2_model.cif
ova_body_c4_05_ms25_r01	seed-3_sample-3	0.81	0.85	0	0	0	0	0	5	A-B,A-C,A-D,B-C,B-D	4	2	1	3	2,2,1	A-C,B-D|A-D,B-C|A-B	3,8,2	1	229	45	10	0.7692307692307693	191,271,276,278,345,346,347,349,350,354	4	0	89.85117874985532	89.81955962106971	1.57046012497086	1.5744963883399004	/root/400083/ova_p3_tetramer_design/experiments/e300_e299_top4_af3_multiseed/out_s1/ova_body_c4_05_ms25_r01/seed-3_sample-3/ova_body_c4_05_ms25_r01_seed-3_sample-3_model.cif
ova_body_c4_05_ms25_r01	seed-3_sample-4	0.81	0.84	0	0	0	0	0	4	A-C,A-D,B-C,B-D	4	2	1	2	2,2	A-C,B-D|A-D,B-C	3,8	1	218	43	10	0.7692307692307693	191,271,276,278,345,346,347,349,350,354	4	0	90.46551815092255	90.4393004876962	1.5565421287827697	1.560244812651156	/root/400083/ova_p3_tetramer_design/experiments/e300_e299_top4_af3_multiseed/out_s1/ova_body_c4_05_ms25_r01/seed-3_sample-4/ova_body_c4_05_ms25_r01_seed-3_sample-4_model.cif
