candidate	seed	model	iptm	min_incident_iptm	interface_pae	atomic_clash_count_2p4	terminal_atomic_clash_count_2p4	nonterminal_atomic_clash_count_2p4	design_involved_atomic_clash_count_2p4	severe_ca_overlap_count_2p5	effective_interface_edges	effective_edge_list	largest_component	min_chain_degree	valid_c4_network	interface_type_count	interface_type_multiplicities	interface_type_edges	interface_type_design_counts	two_interfaces_each_design_ge3	contact_residue_pairs	interface_positions	design_interface_count	design_interface_fraction	design_interface_positions	native_c74_c121_bonds	interchain_ss_bonds	mean_chain_plddt	min_chain_plddt	mean_chain_ca_rmsd_to_1ova	max_chain_ca_rmsd_to_1ova	cif_path	topology_cluster	in_main_topology_cluster	main_topology_medoid
ova_body_c4_multihit11_ms	3	seed-3_sample-0	0.85	0.82	2.355	0	0	0	0	0	6	A-B,A-C,A-D,B-C,B-D,C-D	4	3	1	3	2,2,2	A-B,C-D|A-C,B-D|A-D,B-C	1,7,9	1	248	51	14	0.7	99,182,191,271,276,278,342,343,345,346,347,349,350,354	4	0	90.17741582060107	90.14797940031852	1.5341189205476715	1.5389580526695084	experiments/e186_c4_multihit11_multiseed/out_s1/ova_body_c4_multihit11_ms/seed-3_sample-0/ova_body_c4_multihit11_ms_seed-3_sample-0_model.cif	1	1	0
ova_body_c4_multihit11_ms	3	seed-3_sample-1	0.85	0.82	2.3449999999999998	0	0	0	0	0	6	A-B,A-C,A-D,B-C,B-D,C-D	4	3	1	3	2,2,2	A-B,C-D|A-C,B-D|A-D,B-C	2,7,9	1	253	50	14	0.7	99,182,191,271,276,278,342,343,345,346,347,349,350,354	4	0	90.2391321696148	90.20922261569166	1.5186139645553771	1.5236636191728172	experiments/e186_c4_multihit11_multiseed/out_s1/ova_body_c4_multihit11_ms/seed-3_sample-1/ova_body_c4_multihit11_ms_seed-3_sample-1_model.cif	1	1	0
ova_body_c4_multihit11_ms	3	seed-3_sample-2	0.85	0.82	2.36	0	0	0	0	0	6	A-B,A-C,A-D,B-C,B-D,C-D	4	3	1	3	2,2,2	A-B,C-D|A-C,B-D|A-D,B-C	1,6,8	1	236	48	13	0.65	99,182,191,271,278,342,343,345,346,347,349,350,354	4	0	90.71755184657833	90.68940419607212	1.5564579754740793	1.5637855078116554	experiments/e186_c4_multihit11_multiseed/out_s1/ova_body_c4_multihit11_ms/seed-3_sample-2/ova_body_c4_multihit11_ms_seed-3_sample-2_model.cif	1	1	0
ova_body_c4_multihit11_ms	3	seed-3_sample-3	0.85	0.82	2.425	0	0	0	0	0	6	A-B,A-C,A-D,B-C,B-D,C-D	4	3	1	3	2,2,2	A-B,C-D|A-C,B-D|A-D,B-C	2,7,9	1	250	49	14	0.7	99,182,191,271,276,278,342,343,345,346,347,349,350,354	4	0	90.68846500228724	90.66642463763144	1.5766167824843114	1.581000994961947	experiments/e186_c4_multihit11_multiseed/out_s1/ova_body_c4_multihit11_ms/seed-3_sample-3/ova_body_c4_multihit11_ms_seed-3_sample-3_model.cif	1	1	0
ova_body_c4_multihit11_ms	3	seed-3_sample-4	0.84	0.82	2.43	0	0	0	0	0	6	A-B,A-C,A-D,B-C,B-D,C-D	4	3	1	3	2,2,2	A-B,C-D|A-C,B-D|A-D,B-C	1,7,10	1	250	50	15	0.75	99,182,191,271,276,278,342,343,345,346,347,349,350,354,356	4	0	90.75121116885249	90.70883416882451	1.5475511859084445	1.5524225981515332	experiments/e186_c4_multihit11_multiseed/out_s1/ova_body_c4_multihit11_ms/seed-3_sample-4/ova_body_c4_multihit11_ms_seed-3_sample-4_model.cif	1	1	1
ova_body_c4_multihit11_ms	4	seed-4_sample-0	0.85	0.82	2.38	0	0	0	0	0	6	A-B,A-C,A-D,B-C,B-D,C-D	4	3	1	3	2,2,2	A-B,C-D|A-C,B-D|A-D,B-C	10,7,1	1	255	51	15	0.75	99,182,191,271,276,278,342,343,345,346,347,349,350,354,356	4	0	90.63147674817495	90.59430060114886	1.578421448454789	1.5873197057260406	experiments/e186_c4_multihit11_multiseed/out_s2/ova_body_c4_multihit11_ms/seed-4_sample-0/ova_body_c4_multihit11_ms_seed-4_sample-0_model.cif	1	1	0
ova_body_c4_multihit11_ms	4	seed-4_sample-1	0.84	0.81	2.46	0	0	0	0	0	6	A-B,A-C,A-D,B-C,B-D,C-D	4	3	1	3	2,2,2	A-B,C-D|A-C,B-D|A-D,B-C	9,6,1	1	242	49	14	0.7	99,182,191,271,276,278,342,343,345,346,347,349,350,354	4	0	90.46406731086691	90.43051805644455	1.2760650702949248	1.2827908134542447	experiments/e186_c4_multihit11_multiseed/out_s2/ova_body_c4_multihit11_ms/seed-4_sample-1/ova_body_c4_multihit11_ms_seed-4_sample-1_model.cif	1	1	0
ova_body_c4_multihit11_ms	4	seed-4_sample-2	0.84	0.81	2.505	0	0	0	0	0	6	A-B,A-C,A-D,B-C,B-D,C-D	4	3	1	3	2,2,2	A-B,C-D|A-C,B-D|A-D,B-C	10,7,2	1	254	50	15	0.75	99,182,191,271,276,278,342,343,345,346,347,349,350,354,356	4	0	90.36059577230344	90.32681334698138	1.5701616470779836	1.576757860291014	experiments/e186_c4_multihit11_multiseed/out_s2/ova_body_c4_multihit11_ms/seed-4_sample-2/ova_body_c4_multihit11_ms_seed-4_sample-2_model.cif	1	1	0
ova_body_c4_multihit11_ms	4	seed-4_sample-3	0.84	0.81	2.475	0	0	0	0	0	6	A-B,A-C,A-D,B-C,B-D,C-D	4	3	1	3	2,2,2	A-B,C-D|A-C,B-D|A-D,B-C	9,7,1	1	234	47	14	0.7	99,182,191,271,276,278,342,343,345,346,347,349,350,354	4	0	90.63650257476253	90.58870478615242	1.560560103664856	1.5636505743228086	experiments/e186_c4_multihit11_multiseed/out_s2/ova_body_c4_multihit11_ms/seed-4_sample-3/ova_body_c4_multihit11_ms_seed-4_sample-3_model.cif	1	1	0
ova_body_c4_multihit11_ms	4	seed-4_sample-4	0.85	0.81	2.5	0	0	0	0	0	6	A-B,A-C,A-D,B-C,B-D,C-D	4	3	1	3	2,2,2	A-B,C-D|A-C,B-D|A-D,B-C	9,7,1	1	234	47	14	0.7	99,182,191,271,276,278,342,343,345,346,347,349,350,354	4	0	90.59137955848416	90.5656995921555	1.5762825397873736	1.5789999632652618	experiments/e186_c4_multihit11_multiseed/out_s2/ova_body_c4_multihit11_ms/seed-4_sample-4/ova_body_c4_multihit11_ms_seed-4_sample-4_model.cif	1	1	0
ova_body_c4_multihit11_ms	5	seed-5_sample-0	0.84	0.82	2.495	0	0	0	0	0	4	A-B,A-C,B-D,C-D	4	2	1	2	2,2	A-B,C-D|A-C,B-D	9,7	1	231	48	14	0.7	99,182,191,271,276,278,342,343,345,346,347,349,350,354	4	0	90.3647345656558	90.30549247030149	1.5176993246325712	1.524512040339853	experiments/e186_c4_multihit11_multiseed/out_s3/ova_body_c4_multihit11_ms/seed-5_sample-0/ova_body_c4_multihit11_ms_seed-5_sample-0_model.cif	1	1	0
ova_body_c4_multihit11_ms	5	seed-5_sample-1	0.84	0.81	2.49	0	0	0	0	0	6	A-B,A-C,A-D,B-C,B-D,C-D	4	3	1	3	2,2,2	A-B,C-D|A-C,B-D|A-D,B-C	9,6,1	1	240	48	14	0.7	99,182,191,271,276,278,342,343,345,346,347,349,350,354	4	0	90.15009069689816	90.10797927540202	1.3205807642196157	1.326013481973157	experiments/e186_c4_multihit11_multiseed/out_s3/ova_body_c4_multihit11_ms/seed-5_sample-1/ova_body_c4_multihit11_ms_seed-5_sample-1_model.cif	1	1	0
ova_body_c4_multihit11_ms	5	seed-5_sample-2	0.85	0.82	2.315	0	0	0	0	0	5	A-B,A-C,A-D,B-D,C-D	4	2	1	3	2,2,1	A-B,C-D|A-C,B-D|A-D	9,8,1	1	245	49	14	0.7	99,182,191,271,276,278,342,343,345,346,347,349,350,354	4	0	90.14439766147594	90.1020724736347	1.5623731824898486	1.56467833340658	experiments/e186_c4_multihit11_multiseed/out_s3/ova_body_c4_multihit11_ms/seed-5_sample-2/ova_body_c4_multihit11_ms_seed-5_sample-2_model.cif	1	1	0
ova_body_c4_multihit11_ms	5	seed-5_sample-3	0.84	0.81	2.48	0	0	0	0	0	6	A-B,A-C,A-D,B-C,B-D,C-D	4	3	1	3	2,2,2	A-B,C-D|A-C,B-D|A-D,B-C	10,7,2	1	271	54	15	0.75	99,182,191,271,276,278,342,343,345,346,347,349,350,354,356	4	0	90.20878231216588	90.16020714557233	1.605348218341358	1.6102011280914548	experiments/e186_c4_multihit11_multiseed/out_s3/ova_body_c4_multihit11_ms/seed-5_sample-3/ova_body_c4_multihit11_ms_seed-5_sample-3_model.cif	1	1	0
ova_body_c4_multihit11_ms	5	seed-5_sample-4	0.84	0.81	2.4850000000000003	0	0	0	0	0	6	A-B,A-C,A-D,B-C,B-D,C-D	4	3	1	3	2,2,2	A-B,C-D|A-C,B-D|A-D,B-C	9,6,2	1	256	50	14	0.7	99,182,191,271,276,278,342,343,345,346,347,349,350,354	4	0	90.24367225726033	90.17823832022711	1.5527617843129538	1.5570508960690403	experiments/e186_c4_multihit11_multiseed/out_s3/ova_body_c4_multihit11_ms/seed-5_sample-4/ova_body_c4_multihit11_ms_seed-5_sample-4_model.cif	1	1	0
