source	chain_pair	category	unique_residue_pair_types	atom_level_events
ova_body_c4_09_ms25_r06__AF3	A-B	Hydrophobic	8	10
ova_body_c4_09_ms25_r06__AF3	A-B	HydrogenBond	2	2
ova_body_c4_09_ms25_r06__AF3	A-B	SaltBridge	0	0
ova_body_c4_09_ms25_r06__AF3	A-B	PiStacking	0	0
ova_body_c4_09_ms25_r06__AF3	A-B	CationPi	0	0
ova_body_c4_09_ms25_r06__AF3	A-B	VdWContact	8	14
ova_body_c4_09_ms25_r06__AF3	A-C	Hydrophobic	7	15
ova_body_c4_09_ms25_r06__AF3	A-C	HydrogenBond	0	0
ova_body_c4_09_ms25_r06__AF3	A-C	SaltBridge	4	6
ova_body_c4_09_ms25_r06__AF3	A-C	PiStacking	0	0
ova_body_c4_09_ms25_r06__AF3	A-C	CationPi	0	0
ova_body_c4_09_ms25_r06__AF3	A-C	VdWContact	21	40
ova_body_c4_09_ms25_r06__AF3	A-D	Hydrophobic	8	36
ova_body_c4_09_ms25_r06__AF3	A-D	HydrogenBond	0	0
ova_body_c4_09_ms25_r06__AF3	A-D	SaltBridge	0	0
ova_body_c4_09_ms25_r06__AF3	A-D	PiStacking	0	0
ova_body_c4_09_ms25_r06__AF3	A-D	CationPi	0	0
ova_body_c4_09_ms25_r06__AF3	A-D	VdWContact	15	47
ova_body_c4_09_ms25_r06__AF3	B-C	Hydrophobic	8	35
ova_body_c4_09_ms25_r06__AF3	B-C	HydrogenBond	0	0
ova_body_c4_09_ms25_r06__AF3	B-C	SaltBridge	0	0
ova_body_c4_09_ms25_r06__AF3	B-C	PiStacking	0	0
ova_body_c4_09_ms25_r06__AF3	B-C	CationPi	0	0
ova_body_c4_09_ms25_r06__AF3	B-C	VdWContact	12	40
ova_body_c4_09_ms25_r06__AF3	B-D	Hydrophobic	7	15
ova_body_c4_09_ms25_r06__AF3	B-D	HydrogenBond	1	1
ova_body_c4_09_ms25_r06__AF3	B-D	SaltBridge	4	6
ova_body_c4_09_ms25_r06__AF3	B-D	PiStacking	0	0
ova_body_c4_09_ms25_r06__AF3	B-D	CationPi	0	0
ova_body_c4_09_ms25_r06__AF3	B-D	VdWContact	21	43
ova_body_c4_09_ms25_r06__AF3	C-D	Hydrophobic	8	10
ova_body_c4_09_ms25_r06__AF3	C-D	HydrogenBond	2	2
ova_body_c4_09_ms25_r06__AF3	C-D	SaltBridge	0	0
ova_body_c4_09_ms25_r06__AF3	C-D	PiStacking	0	0
ova_body_c4_09_ms25_r06__AF3	C-D	CationPi	0	0
ova_body_c4_09_ms25_r06__AF3	C-D	VdWContact	8	14
