system	model	iptm	ptm	atomic_clash_count_2p4	terminal_atomic_clash_count_2p4	nonterminal_atomic_clash_count_2p4	design_involved_atomic_clash_count_2p4	severe_ca_overlap_count_2p5	effective_interface_edges	effective_edge_list	largest_component	min_chain_degree	valid_c4_network	interface_type_count	interface_type_multiplicities	interface_type_edges	interface_type_design_counts	two_interfaces_each_design_ge3	contact_residue_pairs	interface_positions	design_interface_count	design_interface_fraction	design_interface_positions	native_c74_c121_bonds	interchain_ss_bonds	mean_chain_plddt	min_chain_plddt	mean_chain_ca_rmsd_to_1ova	max_chain_ca_rmsd_to_1ova	cif_path	source_system	seed
ova_body_c4_20_ms25_r03	seed-1_sample-2	0.84	0.86	0	0	0	0	0	6	A-B,A-C,A-D,B-C,B-D,C-D	4	3	1	3	2,2,2	A-B,C-D|A-C,B-D|A-D,B-C	7,3,2	1	204	41	11	0.7333333333333333	191,271,276,278,342,343,346,349,350,354,356	4	0	90.88393783569336	90.83689120396431	1.7291784920147943	1.7323956062327295	/root/400083/ova_p3_tetramer_design/experiments/e289_c4_e252_clashrepair_ai_af3_seed1/out_s3/ova_body_c4_20/seed-1_sample-2/ova_body_c4_20_seed-1_sample-2_model.cif	ova_body_c4_20	1
ova_body_c4_20_ms25_r03	seed-1_sample-3	0.84	0.87	0	0	0	0	0	6	A-B,A-C,A-D,B-C,B-D,C-D	4	3	1	3	2,2,2	A-B,C-D|A-C,B-D|A-D,B-C	7,4,2	1	225	51	12	0.8	191,271,276,278,342,343,346,348,349,350,354,356	4	0	90.28853618295699	90.23525906103262	1.8584652493403262	1.8633892990870413	/root/400083/ova_p3_tetramer_design/experiments/e289_c4_e252_clashrepair_ai_af3_seed1/out_s3/ova_body_c4_20/seed-1_sample-3/ova_body_c4_20_seed-1_sample-3_model.cif	ova_body_c4_20	1
ova_body_c4_20_ms25_r03	seed-1_sample-4	0.84	0.86	0	0	0	0	0	5	A-B,A-C,A-D,B-C,B-D	4	2	1	3	2,2,1	A-C,B-D|A-D,B-C|A-B	4,2,7	1	200	44	12	0.8	191,271,276,278,342,343,346,348,349,350,354,356	4	0	90.88283027144911	90.8378496713589	1.7956617754261193	1.8033983423476292	/root/400083/ova_p3_tetramer_design/experiments/e289_c4_e252_clashrepair_ai_af3_seed1/out_s3/ova_body_c4_20/seed-1_sample-4/ova_body_c4_20_seed-1_sample-4_model.cif	ova_body_c4_20	1
ova_body_c4_20_ms25_r03	seed-2_sample-0	0.84	0.86	0	0	0	0	0	6	A-B,A-C,A-D,B-C,B-D,C-D	4	3	1	3	2,2,2	A-B,C-D|A-C,B-D|A-D,B-C	7,5,3	1	250	51	12	0.8	191,271,276,278,342,343,346,347,348,350,354,356	4	0	90.54420336046367	90.49046610303493	1.5544185656562814	1.5557479885269274	/root/400083/ova_p3_tetramer_design/experiments/e290_e289_top4_af3_multiseed/out_s8/ova_body_c4_20_ms25_r03/seed-2_sample-0/ova_body_c4_20_ms25_r03_seed-2_sample-0_model.cif	ova_body_c4_20	2
ova_body_c4_20_ms25_r03	seed-2_sample-1	0.85	0.87	0	0	0	0	0	6	A-B,A-C,A-D,B-C,B-D,C-D	4	3	1	3	2,2,2	A-B,C-D|A-C,B-D|A-D,B-C	7,4,2	1	214	42	12	0.8	191,271,276,278,342,343,346,347,348,349,350,354	4	0	90.73136010688822	90.6963471526309	1.5699000514462929	1.5718688270830397	/root/400083/ova_p3_tetramer_design/experiments/e290_e289_top4_af3_multiseed/out_s8/ova_body_c4_20_ms25_r03/seed-2_sample-1/ova_body_c4_20_ms25_r03_seed-2_sample-1_model.cif	ova_body_c4_20	2
ova_body_c4_20_ms25_r03	seed-2_sample-2	0.85	0.87	0	0	0	0	0	6	A-B,A-C,A-D,B-C,B-D,C-D	4	3	1	3	2,2,2	A-B,C-D|A-C,B-D|A-D,B-C	6,6,2	1	221	44	12	0.8	191,271,276,278,342,343,346,347,348,350,354,356	4	0	90.6543782980331	90.62095856543031	1.5568368770796246	1.5630224215123487	/root/400083/ova_p3_tetramer_design/experiments/e290_e289_top4_af3_multiseed/out_s8/ova_body_c4_20_ms25_r03/seed-2_sample-2/ova_body_c4_20_ms25_r03_seed-2_sample-2_model.cif	ova_body_c4_20	2
ova_body_c4_20_ms25_r03	seed-2_sample-3	0.85	0.87	0	0	0	0	0	6	A-B,A-C,A-D,B-C,B-D,C-D	4	3	1	3	2,2,2	A-B,C-D|A-C,B-D|A-D,B-C	7,5,2	1	247	51	12	0.8	191,271,276,278,342,343,346,347,348,350,354,356	4	0	90.82534971138357	90.76393771789235	1.5543045294509483	1.5625248318618226	/root/400083/ova_p3_tetramer_design/experiments/e290_e289_top4_af3_multiseed/out_s8/ova_body_c4_20_ms25_r03/seed-2_sample-3/ova_body_c4_20_ms25_r03_seed-2_sample-3_model.cif	ova_body_c4_20	2
ova_body_c4_20_ms25_r03	seed-2_sample-4	0.85	0.87	0	0	0	0	0	6	A-B,A-C,A-D,B-C,B-D,C-D	4	3	1	3	2,2,2	A-B,C-D|A-C,B-D|A-D,B-C	7,5,2	1	239	47	12	0.8	191,271,276,278,342,343,346,347,348,349,350,354	4	0	90.67573190106012	90.63834202227815	1.539260791089695	1.5463468133420464	/root/400083/ova_p3_tetramer_design/experiments/e290_e289_top4_af3_multiseed/out_s8/ova_body_c4_20_ms25_r03/seed-2_sample-4/ova_body_c4_20_ms25_r03_seed-2_sample-4_model.cif	ova_body_c4_20	2
ova_body_c4_20_ms25_r03	seed-3_sample-0	0.86	0.88	0	0	0	0	0	6	A-B,A-C,A-D,B-C,B-D,C-D	4	3	1	3	2,2,2	A-B,C-D|A-C,B-D|A-D,B-C	2,3,8	1	201	48	13	0.8666666666666667	191,271,276,278,342,343,346,347,348,349,350,354,356	4	0	90.54340021597906	90.49468910138224	1.6449910910718277	1.6466166783248708	/root/400083/ova_p3_tetramer_design/experiments/e290_e289_top4_af3_multiseed/out_s9/ova_body_c4_20_ms25_r03/seed-3_sample-0/ova_body_c4_20_ms25_r03_seed-3_sample-0_model.cif	ova_body_c4_20	3
ova_body_c4_20_ms25_r03	seed-3_sample-1	0.86	0.88	0	0	0	0	0	6	A-B,A-C,A-D,B-C,B-D,C-D	4	3	1	3	2,2,2	A-B,C-D|A-C,B-D|A-D,B-C	2,4,8	1	212	48	13	0.8666666666666667	191,271,276,278,342,343,346,347,348,349,350,354,356	4	0	90.754507697308	90.70507770004667	1.7032043178188236	1.7066579295909095	/root/400083/ova_p3_tetramer_design/experiments/e290_e289_top4_af3_multiseed/out_s9/ova_body_c4_20_ms25_r03/seed-3_sample-1/ova_body_c4_20_ms25_r03_seed-3_sample-1_model.cif	ova_body_c4_20	3
ova_body_c4_20_ms25_r03	seed-3_sample-2	0.85	0.88	0	0	0	0	0	4	A-B,A-C,B-D,C-D	4	2	1	2	2,2	A-B,C-D|A-C,B-D	2,4	0	191	44	13	0.8666666666666667	191,271,276,278,342,343,346,347,348,349,350,354,356	4	0	91.11601679559816	91.08562191780366	1.6724666771306	1.6801548669821005	/root/400083/ova_p3_tetramer_design/experiments/e290_e289_top4_af3_multiseed/out_s9/ova_body_c4_20_ms25_r03/seed-3_sample-2/ova_body_c4_20_ms25_r03_seed-3_sample-2_model.cif	ova_body_c4_20	3
ova_body_c4_20_ms25_r03	seed-3_sample-3	0.86	0.88	0	0	0	0	0	6	A-B,A-C,A-D,B-C,B-D,C-D	4	3	1	3	2,2,2	A-B,C-D|A-C,B-D|A-D,B-C	2,4,8	1	208	46	13	0.8666666666666667	191,271,276,278,342,343,346,347,348,349,350,354,356	4	0	91.08573836242597	91.05577723844064	1.7123402890262651	1.7184009613459026	/root/400083/ova_p3_tetramer_design/experiments/e290_e289_top4_af3_multiseed/out_s9/ova_body_c4_20_ms25_r03/seed-3_sample-3/ova_body_c4_20_ms25_r03_seed-3_sample-3_model.cif	ova_body_c4_20	3
ova_body_c4_20_ms25_r03	seed-3_sample-4	0.86	0.88	0	0	0	0	0	6	A-B,A-C,A-D,B-C,B-D,C-D	4	3	1	3	2,2,2	A-B,C-D|A-C,B-D|A-D,B-C	2,4,8	1	190	45	13	0.8666666666666667	191,271,276,278,342,343,346,347,348,349,350,354,356	4	0	90.68254543709631	90.65808311027567	1.6679719712612537	1.6705421039097594	/root/400083/ova_p3_tetramer_design/experiments/e290_e289_top4_af3_multiseed/out_s9/ova_body_c4_20_ms25_r03/seed-3_sample-4/ova_body_c4_20_ms25_r03_seed-3_sample-4_model.cif	ova_body_c4_20	3
ova_body_c4_20_ms25_r03	seed-4_sample-0	0.83	0.86	0	0	0	0	0	6	A-B,A-C,A-D,B-C,B-D,C-D	4	3	1	3	2,2,2	A-B,C-D|A-C,B-D|A-D,B-C	2,6,8	1	255	52	13	0.8666666666666667	191,271,276,278,342,343,346,347,348,349,350,354,356	4	0	90.28701415827855	90.20989624576865	1.701312680594497	1.7039183202145578	/root/400083/ova_p3_tetramer_design/experiments/e290_e289_top4_af3_multiseed/out_s10/ova_body_c4_20_ms25_r03/seed-4_sample-0/ova_body_c4_20_ms25_r03_seed-4_sample-0_model.cif	ova_body_c4_20	4
ova_body_c4_20_ms25_r03	seed-4_sample-1	0.86	0.88	0	0	0	0	0	6	A-B,A-C,A-D,B-C,B-D,C-D	4	3	1	3	2,2,2	A-B,C-D|A-C,B-D|A-D,B-C	2,6,8	1	249	50	13	0.8666666666666667	191,271,276,278,342,343,346,347,348,349,350,354,356	4	0	90.91785632019834	90.86886011627672	1.669762028122769	1.6778840885109627	/root/400083/ova_p3_tetramer_design/experiments/e290_e289_top4_af3_multiseed/out_s10/ova_body_c4_20_ms25_r03/seed-4_sample-1/ova_body_c4_20_ms25_r03_seed-4_sample-1_model.cif	ova_body_c4_20	4
ova_body_c4_20_ms25_r03	seed-4_sample-2	0.85	0.88	0	0	0	0	0	6	A-B,A-C,A-D,B-C,B-D,C-D	4	3	1	3	2,2,2	A-B,C-D|A-C,B-D|A-D,B-C	2,6,8	1	260	50	13	0.8666666666666667	191,271,276,278,342,343,346,347,348,349,350,354,356	4	0	90.87500641877169	90.8147149061292	1.5817588586815075	1.5920440648928398	/root/400083/ova_p3_tetramer_design/experiments/e290_e289_top4_af3_multiseed/out_s10/ova_body_c4_20_ms25_r03/seed-4_sample-2/ova_body_c4_20_ms25_r03_seed-4_sample-2_model.cif	ova_body_c4_20	4
