candidate	model_a	model_b	best_chain_permutation_contact_jaccard
ova_body_c4_073_ms	seed-1_sample-2	seed-5_sample-2	0.8560885608856088
ova_body_c4_073_ms	seed-1_sample-2	seed-5_sample-3	0.8055555555555556
ova_body_c4_073_ms	seed-1_sample-2	seed-5_sample-4	0.8612099644128114
ova_body_c4_073_ms	seed-1_sample-3	seed-1_sample-4	0.8941605839416058
ova_body_c4_073_ms	seed-1_sample-3	seed-2_sample-0	0.8848920863309353
ova_body_c4_073_ms	seed-1_sample-3	seed-2_sample-1	0.8671586715867159
ova_body_c4_073_ms	seed-1_sample-3	seed-2_sample-2	0.9216417910447762
ova_body_c4_073_ms	seed-1_sample-3	seed-2_sample-3	0.8897058823529411
ova_body_c4_073_ms	seed-1_sample-3	seed-2_sample-4	0.9219330855018587
ova_body_c4_073_ms	seed-1_sample-3	seed-3_sample-0	0.9296296296296296
ova_body_c4_073_ms	seed-1_sample-3	seed-3_sample-1	0.88
ova_body_c4_073_ms	seed-1_sample-3	seed-3_sample-2	0.9285714285714286
ova_body_c4_073_ms	seed-1_sample-3	seed-3_sample-3	0.9077490774907749
ova_body_c4_073_ms	seed-1_sample-3	seed-3_sample-4	0.8832116788321168
ova_body_c4_073_ms	seed-1_sample-3	seed-4_sample-0	0.8561151079136691
ova_body_c4_073_ms	seed-1_sample-3	seed-4_sample-1	0.8966789667896679
ova_body_c4_073_ms	seed-1_sample-3	seed-4_sample-2	0.845360824742268
ova_body_c4_073_ms	seed-1_sample-3	seed-4_sample-3	0.8791208791208791
ova_body_c4_073_ms	seed-1_sample-3	seed-4_sample-4	0.8496503496503497
ova_body_c4_073_ms	seed-1_sample-3	seed-5_sample-0	0.8703703703703703
ova_body_c4_073_ms	seed-1_sample-3	seed-5_sample-1	0.8823529411764706
ova_body_c4_073_ms	seed-1_sample-3	seed-5_sample-2	0.9323308270676691
ova_body_c4_073_ms	seed-1_sample-3	seed-5_sample-3	0.8829787234042553
ova_body_c4_073_ms	seed-1_sample-3	seed-5_sample-4	0.8802816901408451
ova_body_c4_073_ms	seed-1_sample-4	seed-2_sample-0	0.8525179856115108
ova_body_c4_073_ms	seed-1_sample-4	seed-2_sample-1	0.8544776119402985
ova_body_c4_073_ms	seed-1_sample-4	seed-2_sample-2	0.8740740740740741
ova_body_c4_073_ms	seed-1_sample-4	seed-2_sample-3	0.8913857677902621
ova_body_c4_073_ms	seed-1_sample-4	seed-2_sample-4	0.8745387453874539
ova_body_c4_073_ms	seed-1_sample-4	seed-3_sample-0	0.9033457249070632
ova_body_c4_073_ms	seed-1_sample-4	seed-3_sample-1	0.8884758364312267
ova_body_c4_073_ms	seed-1_sample-4	seed-3_sample-2	0.9018867924528302
ova_body_c4_073_ms	seed-1_sample-4	seed-3_sample-3	0.9315589353612167
ova_body_c4_073_ms	seed-1_sample-4	seed-3_sample-4	0.898876404494382
ova_body_c4_073_ms	seed-1_sample-4	seed-4_sample-0	0.8503649635036497
ova_body_c4_073_ms	seed-1_sample-4	seed-4_sample-1	0.9274809160305344
ova_body_c4_073_ms	seed-1_sample-4	seed-4_sample-2	0.8082191780821918
ova_body_c4_073_ms	seed-1_sample-4	seed-4_sample-3	0.8736059479553904
ova_body_c4_073_ms	seed-1_sample-4	seed-4_sample-4	0.8118466898954704
ova_body_c4_073_ms	seed-1_sample-4	seed-5_sample-0	0.8646616541353384
ova_body_c4_073_ms	seed-1_sample-4	seed-5_sample-1	0.8768656716417911
ova_body_c4_073_ms	seed-1_sample-4	seed-5_sample-2	0.8843283582089553
ova_body_c4_073_ms	seed-1_sample-4	seed-5_sample-3	0.8251748251748252
ova_body_c4_073_ms	seed-1_sample-4	seed-5_sample-4	0.8617021276595744
ova_body_c4_073_ms	seed-2_sample-0	seed-2_sample-1	0.8455882352941176
ova_body_c4_073_ms	seed-2_sample-0	seed-2_sample-2	0.8381294964028777
ova_body_c4_073_ms	seed-2_sample-0	seed-2_sample-3	0.8888888888888888
ova_body_c4_073_ms	seed-2_sample-0	seed-2_sample-4	0.8791208791208791
ova_body_c4_073_ms	seed-2_sample-0	seed-3_sample-0	0.9363295880149812
ova_body_c4_073_ms	seed-2_sample-0	seed-3_sample-1	0.9285714285714286
ova_body_c4_073_ms	seed-2_sample-0	seed-3_sample-2	0.8782287822878229
ova_body_c4_073_ms	seed-2_sample-0	seed-3_sample-3	0.8929889298892989
ova_body_c4_073_ms	seed-2_sample-0	seed-3_sample-4	0.9176029962546817
ova_body_c4_073_ms	seed-2_sample-0	seed-4_sample-0	0.8823529411764706
ova_body_c4_073_ms	seed-2_sample-0	seed-4_sample-1	0.8888888888888888
ova_body_c4_073_ms	seed-2_sample-0	seed-4_sample-2	0.8442906574394463
ova_body_c4_073_ms	seed-2_sample-0	seed-4_sample-3	0.8921933085501859
ova_body_c4_073_ms	seed-2_sample-0	seed-4_sample-4	0.8551236749116607
ova_body_c4_073_ms	seed-2_sample-0	seed-5_sample-0	0.8905660377358491
ova_body_c4_073_ms	seed-2_sample-0	seed-5_sample-1	0.9242424242424242
ova_body_c4_073_ms	seed-2_sample-0	seed-5_sample-2	0.8613138686131386
ova_body_c4_073_ms	seed-2_sample-0	seed-5_sample-3	0.8109965635738832
ova_body_c4_073_ms	seed-2_sample-0	seed-5_sample-4	0.8531468531468531
ova_body_c4_073_ms	seed-2_sample-1	seed-2_sample-2	0.9034749034749034
ova_body_c4_073_ms	seed-2_sample-1	seed-2_sample-3	0.9069767441860465
ova_body_c4_073_ms	seed-2_sample-1	seed-2_sample-4	0.896551724137931
ova_body_c4_073_ms	seed-2_sample-1	seed-3_sample-0	0.8619402985074627
ova_body_c4_073_ms	seed-2_sample-1	seed-3_sample-1	0.8679245283018868
ova_body_c4_073_ms	seed-2_sample-1	seed-3_sample-2	0.8957528957528957
ova_body_c4_073_ms	seed-2_sample-1	seed-3_sample-3	0.8821292775665399
ova_body_c4_073_ms	seed-2_sample-1	seed-3_sample-4	0.8712121212121212
ova_body_c4_073_ms	seed-2_sample-1	seed-4_sample-0	0.8641509433962264
ova_body_c4_073_ms	seed-2_sample-1	seed-4_sample-1	0.9069767441860465
ova_body_c4_073_ms	seed-2_sample-1	seed-4_sample-2	0.8327402135231317
ova_body_c4_073_ms	seed-2_sample-1	seed-4_sample-3	0.8528301886792453
ova_body_c4_073_ms	seed-2_sample-1	seed-4_sample-4	0.8847583643122676
ova_body_c4_073_ms	seed-2_sample-1	seed-5_sample-0	0.88671875
ova_body_c4_073_ms	seed-2_sample-1	seed-5_sample-1	0.8421052631578947
ova_body_c4_073_ms	seed-2_sample-1	seed-5_sample-2	0.8636363636363636
ova_body_c4_073_ms	seed-2_sample-1	seed-5_sample-3	0.8243727598566308
ova_body_c4_073_ms	seed-2_sample-1	seed-5_sample-4	0.8156028368794326
ova_body_c4_073_ms	seed-2_sample-2	seed-2_sample-3	0.8555555555555555
ova_body_c4_073_ms	seed-2_sample-2	seed-2_sample-4	0.8666666666666667
ova_body_c4_073_ms	seed-2_sample-2	seed-3_sample-0	0.8884758364312267
ova_body_c4_073_ms	seed-2_sample-2	seed-3_sample-1	0.8529411764705882
ova_body_c4_073_ms	seed-2_sample-2	seed-3_sample-2	0.9157088122605364
ova_body_c4_073_ms	seed-2_sample-2	seed-3_sample-3	0.8805970149253731
ova_body_c4_073_ms	seed-2_sample-2	seed-3_sample-4	0.8838951310861424
ova_body_c4_073_ms	seed-2_sample-2	seed-4_sample-0	0.8290909090909091
ova_body_c4_073_ms	seed-2_sample-2	seed-4_sample-1	0.8905660377358491
ova_body_c4_073_ms	seed-2_sample-2	seed-4_sample-2	0.8321678321678322
ova_body_c4_073_ms	seed-2_sample-2	seed-4_sample-3	0.8248175182481752
ova_body_c4_073_ms	seed-2_sample-2	seed-4_sample-4	0.8561151079136691
ova_body_c4_073_ms	seed-2_sample-2	seed-5_sample-0	0.8154981549815498
ova_body_c4_073_ms	seed-2_sample-2	seed-5_sample-1	0.8619402985074627
ova_body_c4_073_ms	seed-2_sample-2	seed-5_sample-2	0.9122137404580153
ova_body_c4_073_ms	seed-2_sample-2	seed-5_sample-3	0.85
ova_body_c4_073_ms	seed-2_sample-2	seed-5_sample-4	0.8280701754385965
ova_body_c4_073_ms	seed-2_sample-3	seed-2_sample-4	0.8838951310861424
ova_body_c4_073_ms	seed-2_sample-3	seed-3_sample-0	0.9132075471698113
ova_body_c4_073_ms	seed-2_sample-3	seed-3_sample-1	0.9346153846153846
ova_body_c4_073_ms	seed-2_sample-3	seed-3_sample-2	0.8901515151515151
ova_body_c4_073_ms	seed-2_sample-3	seed-3_sample-3	0.9053030303030303
ova_body_c4_073_ms	seed-2_sample-3	seed-3_sample-4	0.9015151515151515
ova_body_c4_073_ms	seed-2_sample-3	seed-4_sample-0	0.8523985239852399
ova_body_c4_073_ms	seed-2_sample-3	seed-4_sample-1	0.9230769230769231
ova_body_c4_073_ms	seed-2_sample-3	seed-4_sample-2	0.8415492957746479
ova_body_c4_073_ms	seed-2_sample-3	seed-4_sample-3	0.8901515151515151
ova_body_c4_073_ms	seed-2_sample-3	seed-4_sample-4	0.8525179856115108
ova_body_c4_073_ms	seed-2_sample-3	seed-5_sample-0	0.9254901960784314
ova_body_c4_073_ms	seed-2_sample-3	seed-5_sample-1	0.8582089552238806
ova_body_c4_073_ms	seed-2_sample-3	seed-5_sample-2	0.8450184501845018
ova_body_c4_073_ms	seed-2_sample-3	seed-5_sample-3	0.8464285714285714
ova_body_c4_073_ms	seed-2_sample-3	seed-5_sample-4	0.8909090909090909
ova_body_c4_073_ms	seed-2_sample-4	seed-3_sample-0	0.895910780669145
ova_body_c4_073_ms	seed-2_sample-4	seed-3_sample-1	0.8951310861423221
ova_body_c4_073_ms	seed-2_sample-4	seed-3_sample-2	0.9457364341085271
ova_body_c4_073_ms	seed-2_sample-4	seed-3_sample-3	0.9166666666666666
ova_body_c4_073_ms	seed-2_sample-4	seed-3_sample-4	0.8984962406015038
ova_body_c4_073_ms	seed-2_sample-4	seed-4_sample-0	0.8913857677902621
ova_body_c4_073_ms	seed-2_sample-4	seed-4_sample-1	0.9272030651340997
ova_body_c4_073_ms	seed-2_sample-4	seed-4_sample-2	0.8263888888888888
ova_body_c4_073_ms	seed-2_sample-4	seed-4_sample-3	0.9382239382239382
ova_body_c4_073_ms	seed-2_sample-4	seed-4_sample-4	0.8768115942028986
