submitted_utc	shard	name	job_id	queue_id	mode	status	response
2026-08-31T04:43:49.725352+00:00	0	ky-20260831-273	t-20260831124347-vqk4f	q-20251224105744-qhrgl	submit	ok	"{     ""ResponseMetadata"": {         ""Action"": ""CreateJob"",         ""Region"": ""cn-beijing"",         ""RequestId"": ""202608311243467DE4F976D5B93D890FCE"",         ""Service"": ""ml_platform"",         ""Version"": ""2024-07-01""     },     ""Result"": {         ""Id"": ""t-20260831124347-vqk4f""     } }"
2026-08-31T04:43:53.560472+00:00	1	ky-20260831-274	t-20260831124351-8n7sr	q-20251224105744-qhrgl	submit	ok	"{     ""ResponseMetadata"": {         ""Action"": ""CreateJob"",         ""Region"": ""cn-beijing"",         ""RequestId"": ""20260831124350B01C3A0EEB1470563EF7"",         ""Service"": ""ml_platform"",         ""Version"": ""2024-07-01""     },     ""Result"": {         ""Id"": ""t-20260831124351-8n7sr""     } }"
2026-08-31T04:43:57.321605+00:00	2	ky-20260831-275	t-20260831124354-lhjc9	q-20251224105744-qhrgl	submit	ok	"{     ""ResponseMetadata"": {         ""Action"": ""CreateJob"",         ""Region"": ""cn-beijing"",         ""RequestId"": ""20260831124354D677B5A04871DC86A286"",         ""Service"": ""ml_platform"",         ""Version"": ""2024-07-01""     },     ""Result"": {         ""Id"": ""t-20260831124354-lhjc9""     } }"
2026-08-31T04:44:00.851696+00:00	3	ky-20260831-276	t-20260831124358-tmqbc	q-20251224105744-qhrgl	submit	ok	"{     ""ResponseMetadata"": {         ""Action"": ""CreateJob"",         ""Region"": ""cn-beijing"",         ""RequestId"": ""2026083112435811F70156E27200B91FA3"",         ""Service"": ""ml_platform"",         ""Version"": ""2024-07-01""     },     ""Result"": {         ""Id"": ""t-20260831124358-tmqbc""     } }"
2026-08-31T04:44:04.593159+00:00	4	ky-20260831-277	t-20260831124402-sdnk7	q-20251224105744-qhrgl	submit	ok	"{     ""ResponseMetadata"": {         ""Action"": ""CreateJob"",         ""Region"": ""cn-beijing"",         ""RequestId"": ""2026083112440158995414C511B81CBF58"",         ""Service"": ""ml_platform"",         ""Version"": ""2024-07-01""     },     ""Result"": {         ""Id"": ""t-20260831124402-sdnk7""     } }"
2026-08-31T04:44:08.173384+00:00	5	ky-20260831-278	t-20260831124405-9vjjc	q-20251224105744-qhrgl	submit	ok	"{     ""ResponseMetadata"": {         ""Action"": ""CreateJob"",         ""Region"": ""cn-beijing"",         ""RequestId"": ""20260831124405197C530BC2CAF220439E"",         ""Service"": ""ml_platform"",         ""Version"": ""2024-07-01""     },     ""Result"": {         ""Id"": ""t-20260831124405-9vjjc""     } }"
2026-08-31T04:44:11.610272+00:00	6	ky-20260831-279	t-20260831124409-d7dh8	q-20251224105744-qhrgl	submit	ok	"{     ""ResponseMetadata"": {         ""Action"": ""CreateJob"",         ""Region"": ""cn-beijing"",         ""RequestId"": ""20260831124408400F24434D62F78D7B89"",         ""Service"": ""ml_platform"",         ""Version"": ""2024-07-01""     },     ""Result"": {         ""Id"": ""t-20260831124409-d7dh8""     } }"
2026-08-31T04:44:15.133352+00:00	7	ky-20260831-280	t-20260831124413-x2rdn	q-20251224105744-qhrgl	submit	ok	"{     ""ResponseMetadata"": {         ""Action"": ""CreateJob"",         ""Region"": ""cn-beijing"",         ""RequestId"": ""202608311244120B56863744661B81BED2"",         ""Service"": ""ml_platform"",         ""Version"": ""2024-07-01""     },     ""Result"": {         ""Id"": ""t-20260831124413-x2rdn""     } }"
