submitted_utc	shard	tag	job_id	queue_id	mode	status	response
2026-08-30T08:47:31.276377+00:00	0	ky-034	t-20260830164728-pd68x	q-20251224105744-qhrgl	submit	ok	"{     ""ResponseMetadata"": {         ""Action"": ""CreateJob"",         ""Region"": ""cn-beijing"",         ""RequestId"": ""2026083016472849E32559FC0AD2397280"",         ""Service"": ""ml_platform"",         ""Version"": ""2024-07-01""     },     ""Result"": {         ""Id"": ""t-20260830164728-pd68x""     } }"
2026-08-30T08:47:34.722341+00:00	1	ky-035	t-20260830164732-wl4h9	q-20251224105744-qhrgl	submit	ok	"{     ""ResponseMetadata"": {         ""Action"": ""CreateJob"",         ""Region"": ""cn-beijing"",         ""RequestId"": ""20260830164731F62680482028AFD3C7F3"",         ""Service"": ""ml_platform"",         ""Version"": ""2024-07-01""     },     ""Result"": {         ""Id"": ""t-20260830164732-wl4h9""     } }"
2026-08-30T08:47:38.120875+00:00	2	ky-036	t-20260830164735-2mw89	q-20251224105744-qhrgl	submit	ok	"{     ""ResponseMetadata"": {         ""Action"": ""CreateJob"",         ""Region"": ""cn-beijing"",         ""RequestId"": ""20260830164735484B0F8949AD6C6C7229"",         ""Service"": ""ml_platform"",         ""Version"": ""2024-07-01""     },     ""Result"": {         ""Id"": ""t-20260830164735-2mw89""     } }"
2026-08-30T08:47:41.797918+00:00	3	ky-037	t-20260830164739-kl7s8	q-20251224105744-qhrgl	submit	ok	"{     ""ResponseMetadata"": {         ""Action"": ""CreateJob"",         ""Region"": ""cn-beijing"",         ""RequestId"": ""202608301647383C4EE50918B8D1EE7FAA"",         ""Service"": ""ml_platform"",         ""Version"": ""2024-07-01""     },     ""Result"": {         ""Id"": ""t-20260830164739-kl7s8""     } }"
