seed	model	iptm	weakest_chain	interface_pae_a	min_ova_plddt	full_connected	has_clash	confidence_pass	observed_ss_bonds	native_c74_c121_bonds	unexpected_ss_bonds	chemically_clean_ring	joint_pass	cif_path
6	seed-6_sample-0	0.24	0.33	21.065	85.39733150462412	1	0	0	2	4	0	0	0	experiments/e42_ai_p208f_reseed/out_s2/ova_body_ai_p208f_reseed/seed-6_sample-0/ova_body_ai_p208f_reseed_seed-6_sample-0_model.cif
6	seed-6_sample-1	0.22	0.28	28.215	85.175647537943	1	0	0	8	4	0	0	0	experiments/e42_ai_p208f_reseed/out_s2/ova_body_ai_p208f_reseed/seed-6_sample-1/ova_body_ai_p208f_reseed_seed-6_sample-1_model.cif
6	seed-6_sample-2	0.26	0.33	21.16	85.38525900568987	1	0	0	0	4	0	0	0	experiments/e42_ai_p208f_reseed/out_s2/ova_body_ai_p208f_reseed/seed-6_sample-2/ova_body_ai_p208f_reseed_seed-6_sample-2_model.cif
6	seed-6_sample-3	0.24	0.21	18.17	86.30829003684879	1	0	0	0	4	4	0	0	experiments/e42_ai_p208f_reseed/out_s2/ova_body_ai_p208f_reseed/seed-6_sample-3/ova_body_ai_p208f_reseed_seed-6_sample-3_model.cif
6	seed-6_sample-4	0.19	0.15	23.619999999999997	84.96678753590955	1	0	0	0	4	0	0	0	experiments/e42_ai_p208f_reseed/out_s2/ova_body_ai_p208f_reseed/seed-6_sample-4/ova_body_ai_p208f_reseed_seed-6_sample-4_model.cif
7	seed-7_sample-0	0.81	0.82	1.66	90.24639893566389	1	0	1	8	4	0	1	1	experiments/e42_ai_p208f_reseed/out_s3/ova_body_ai_p208f_reseed/seed-7_sample-0/ova_body_ai_p208f_reseed_seed-7_sample-0_model.cif
7	seed-7_sample-1	0.81	0.81	1.6	90.03637307913192	1	0	1	8	4	0	1	1	experiments/e42_ai_p208f_reseed/out_s3/ova_body_ai_p208f_reseed/seed-7_sample-1/ova_body_ai_p208f_reseed_seed-7_sample-1_model.cif
7	seed-7_sample-2	0.81	0.81	1.775	90.78339376103693	1	0	1	8	4	0	1	1	experiments/e42_ai_p208f_reseed/out_s3/ova_body_ai_p208f_reseed/seed-7_sample-2/ova_body_ai_p208f_reseed_seed-7_sample-2_model.cif
7	seed-7_sample-3	0.82	0.81	1.66	90.21769438629941	1	0	1	8	4	0	1	1	experiments/e42_ai_p208f_reseed/out_s3/ova_body_ai_p208f_reseed/seed-7_sample-3/ova_body_ai_p208f_reseed_seed-7_sample-3_model.cif
7	seed-7_sample-4	0.82	0.81	1.645	90.05261635656801	1	0	1	8	4	0	1	1	experiments/e42_ai_p208f_reseed/out_s3/ova_body_ai_p208f_reseed/seed-7_sample-4/ova_body_ai_p208f_reseed_seed-7_sample-4_model.cif
8	seed-8_sample-0	0.22	0.25	28.27	85.04655438754224	1	0	0	4	4	0	0	0	experiments/e42_ai_p208f_reseed/out_s4/ova_body_ai_p208f_reseed/seed-8_sample-0/ova_body_ai_p208f_reseed_seed-8_sample-0_model.cif
8	seed-8_sample-1	0.25	0.35	26.16	85.59981877816156	1	0	0	3	4	0	0	0	experiments/e42_ai_p208f_reseed/out_s4/ova_body_ai_p208f_reseed/seed-8_sample-1/ova_body_ai_p208f_reseed_seed-8_sample-1_model.cif
8	seed-8_sample-2	0.23	0.31	24.450000000000003	84.13323824393316	1	0	0	8	4	0	0	0	experiments/e42_ai_p208f_reseed/out_s4/ova_body_ai_p208f_reseed/seed-8_sample-2/ova_body_ai_p208f_reseed_seed-8_sample-2_model.cif
8	seed-8_sample-3	0.24	0.18	20.439999999999998	84.18326434199675	1	0	0	0	4	4	0	0	experiments/e42_ai_p208f_reseed/out_s4/ova_body_ai_p208f_reseed/seed-8_sample-3/ova_body_ai_p208f_reseed_seed-8_sample-3_model.cif
8	seed-8_sample-4	0.24	0.32	21.64	85.57766843212701	1	0	0	4	4	0	0	0	experiments/e42_ai_p208f_reseed/out_s4/ova_body_ai_p208f_reseed/seed-8_sample-4/ova_body_ai_p208f_reseed_seed-8_sample-4_model.cif
