system	model	iptm	ptm	atomic_clash_count_2p4	severe_ca_overlap_count_2p5	effective_interface_edges	effective_edge_list	largest_component	min_chain_degree	valid_c4_network	interface_type_count	interface_type_multiplicities	interface_type_edges	interface_type_design_counts	two_interfaces_each_design_ge3	contact_residue_pairs	interface_positions	design_interface_count	design_interface_fraction	design_interface_positions	native_c74_c121_bonds	interchain_ss_bonds	mean_chain_plddt	min_chain_plddt	mean_chain_ca_rmsd_to_1ova	max_chain_ca_rmsd_to_1ova	cif_path
ova_body_c4_73	seed-1_sample-2	0.85	0.88	0	0	4	A-C,A-D,B-C,B-D	4	2	1	2	2,2	A-C,B-D|A-D,B-C	6,9	1	253	49	13	0.7647058823529411	182,191,271,276,278,342,343,345,346,347,349,350,354	4	0	91.05019426839957	90.98590673930904	1.587302167276839	1.5991891913825185	experiments/e158_c4_iptm90_joint_surrogate_af3_seed1/out_s0/ova_body_c4_73/seed-1_sample-2/ova_body_c4_73_seed-1_sample-2_model.cif
ova_body_c4_73	seed-1_sample-3	0.85	0.88	0	0	6	A-B,A-C,A-D,B-C,B-D,C-D	4	3	1	3	2,2,2	A-B,C-D|A-C,B-D|A-D,B-C	2,6,9	1	264	50	13	0.7647058823529411	182,191,271,276,278,342,343,345,346,347,349,350,354	4	0	90.94848446524823	90.88443009964543	1.5875019790552418	1.5921892174106793	experiments/e158_c4_iptm90_joint_surrogate_af3_seed1/out_s0/ova_body_c4_73/seed-1_sample-3/ova_body_c4_73_seed-1_sample-3_model.cif
ova_body_c4_73	seed-1_sample-4	0.85	0.87	0	0	6	A-B,A-C,A-D,B-C,B-D,C-D	4	3	1	3	2,2,2	A-B,C-D|A-C,B-D|A-D,B-C	1,6,9	1	255	49	13	0.7647058823529411	182,191,271,276,278,342,343,345,346,347,349,350,354	4	0	90.98362050278817	90.9384197571117	1.5753917443784036	1.5837024082095952	experiments/e158_c4_iptm90_joint_surrogate_af3_seed1/out_s0/ova_body_c4_73/seed-1_sample-4/ova_body_c4_73_seed-1_sample-4_model.cif
ova_body_c4_81	seed-1_sample-0	0.84	0.87	0	0	6	A-B,A-C,A-D,B-C,B-D,C-D	4	3	1	3	2,2,2	A-B,C-D|A-C,B-D|A-D,B-C	2,7,6	1	216	49	12	0.7058823529411765	182,191,271,276,278,341,342,345,346,347,350,354	4	0	89.95155437993262	89.8885232302809	1.594189015478067	1.6032862341300236	experiments/e158_c4_iptm90_joint_surrogate_af3_seed1/out_s0/ova_body_c4_81/seed-1_sample-0/ova_body_c4_81_seed-1_sample-0_model.cif
ova_body_c4_81	seed-1_sample-1	0.84	0.86	0	0	6	A-B,A-C,A-D,B-C,B-D,C-D	4	3	1	3	2,2,2	A-B,C-D|A-C,B-D|A-D,B-C	3,7,6	1	232	49	12	0.7058823529411765	182,191,271,276,278,341,342,345,346,347,350,354	4	0	90.0767811518259	89.98512956886094	1.5560003463273606	1.5680868442479616	experiments/e158_c4_iptm90_joint_surrogate_af3_seed1/out_s0/ova_body_c4_81/seed-1_sample-1/ova_body_c4_81_seed-1_sample-1_model.cif
ova_body_c4_81	seed-1_sample-2	0.84	0.87	4	0	6	A-B,A-C,A-D,B-C,B-D,C-D	4	3	1	3	2,2,2	A-B,C-D|A-C,B-D|A-D,B-C	2,7,7	1	233	51	13	0.7647058823529411	182,191,271,276,278,341,342,345,346,347,349,350,354	4	0	90.20676817424557	90.15129540003643	1.5729482878268566	1.5844079861454368	experiments/e158_c4_iptm90_joint_surrogate_af3_seed1/out_s0/ova_body_c4_81/seed-1_sample-2/ova_body_c4_81_seed-1_sample-2_model.cif
ova_body_c4_81	seed-1_sample-3	0.84	0.87	4	0	6	A-B,A-C,A-D,B-C,B-D,C-D	4	3	1	3	2,2,2	A-B,C-D|A-C,B-D|A-D,B-C	2,7,6	1	237	49	12	0.7058823529411765	182,191,271,276,278,341,342,345,346,347,350,354	4	0	90.14500006739958	90.0923574576106	1.5921522951848681	1.5983309047453027	experiments/e158_c4_iptm90_joint_surrogate_af3_seed1/out_s0/ova_body_c4_81/seed-1_sample-3/ova_body_c4_81_seed-1_sample-3_model.cif
ova_body_c4_81	seed-1_sample-4	0.85	0.87	0	0	6	A-B,A-C,A-D,B-C,B-D,C-D	4	3	1	3	2,2,2	A-B,C-D|A-C,B-D|A-D,B-C	3,7,6	1	267	56	13	0.7647058823529411	182,191,271,276,278,341,342,345,346,347,349,350,354	4	0	89.71244815964774	89.67196885538843	1.6119727703704116	1.6148427842239288	experiments/e158_c4_iptm90_joint_surrogate_af3_seed1/out_s0/ova_body_c4_81/seed-1_sample-4/ova_body_c4_81_seed-1_sample-4_model.cif
ova_body_c4_89	seed-1_sample-0	0.8	0.84	0	0	6	A-B,A-C,A-D,B-C,B-D,C-D	4	3	1	3	2,2,2	A-B,C-D|A-C,B-D|A-D,B-C	3,7,8	1	247	49	14	0.7	96,191,271,278,341,342,343,345,346,347,348,350,354,356	4	0	89.70238990981343	89.6463729680511	1.6767550568678091	1.6865310897651564	experiments/e158_c4_iptm90_joint_surrogate_af3_seed1/out_s0/ova_body_c4_89/seed-1_sample-0/ova_body_c4_89_seed-1_sample-0_model.cif
ova_body_c4_89	seed-1_sample-1	0.78	0.83	22	0	6	A-B,A-C,A-D,B-C,B-D,C-D	4	3	1	3	2,2,2	A-B,C-D|A-C,B-D|A-D,B-C	4,9,8	1	259	48	14	0.7	96,191,271,278,341,342,343,345,346,347,348,350,354,356	4	0	89.4290414721237	89.39041449986591	1.6764947734208162	1.685571088188975	experiments/e158_c4_iptm90_joint_surrogate_af3_seed1/out_s0/ova_body_c4_89/seed-1_sample-1/ova_body_c4_89_seed-1_sample-1_model.cif
ova_body_c4_89	seed-1_sample-2	0.8	0.83	25	0	6	A-B,A-C,A-D,B-C,B-D,C-D	4	3	1	3	2,2,2	A-B,C-D|A-C,B-D|A-D,B-C	2,9,8	1	252	50	14	0.7	96,191,271,278,341,342,343,345,346,347,348,350,354,356	4	0	89.73920983477578	89.71463731162906	1.681596019333776	1.686637660035084	experiments/e158_c4_iptm90_joint_surrogate_af3_seed1/out_s0/ova_body_c4_89/seed-1_sample-2/ova_body_c4_89_seed-1_sample-2_model.cif
ova_body_c4_89	seed-1_sample-3	0.79	0.83	5	0	6	A-B,A-C,A-D,B-C,B-D,C-D	4	3	1	3	2,2,2	A-B,C-D|A-C,B-D|A-D,B-C	5,8,8	1	256	48	14	0.7	96,191,271,278,341,342,343,345,346,347,348,350,354,356	4	0	89.57609457302587	89.52310873436804	1.6819667786152301	1.688499398667472	experiments/e158_c4_iptm90_joint_surrogate_af3_seed1/out_s0/ova_body_c4_89/seed-1_sample-3/ova_body_c4_89_seed-1_sample-3_model.cif
ova_body_c4_89	seed-1_sample-4	0.79	0.83	12	0	6	A-B,A-C,A-D,B-C,B-D,C-D	4	3	1	3	2,2,2	A-B,C-D|A-C,B-D|A-D,B-C	4,9,9	1	277	53	15	0.75	96,191,271,278,341,342,343,345,346,347,348,349,350,354,356	4	0	89.38470861454702	89.33085497920378	1.7430278483969748	1.749749608756031	experiments/e158_c4_iptm90_joint_surrogate_af3_seed1/out_s0/ova_body_c4_89/seed-1_sample-4/ova_body_c4_89_seed-1_sample-4_model.cif
ova_body_c4_97	seed-1_sample-0	0.84	0.86	1	0	4	A-B,A-C,B-D,C-D	4	2	1	2	2,2	A-B,C-D|A-C,B-D	2,7	0	207	48	13	0.65	182,191,271,276,278,341,342,345,346,347,350,354,356	4	0	90.19899617575611	90.15681344857488	1.5539095459048098	1.563037898472672	experiments/e158_c4_iptm90_joint_surrogate_af3_seed1/out_s0/ova_body_c4_97/seed-1_sample-0/ova_body_c4_97_seed-1_sample-0_model.cif
ova_body_c4_97	seed-1_sample-1	0.84	0.87	1	0	6	A-B,A-C,A-D,B-C,B-D,C-D	4	3	1	3	2,2,2	A-B,C-D|A-C,B-D|A-D,B-C	2,7,8	1	238	48	13	0.65	182,191,271,276,278,341,342,343,345,346,347,350,354	4	0	90.47751292787068	90.42984453507655	1.568911384644495	1.583057521596185	experiments/e158_c4_iptm90_joint_surrogate_af3_seed1/out_s0/ova_body_c4_97/seed-1_sample-1/ova_body_c4_97_seed-1_sample-1_model.cif
ova_body_c4_97	seed-1_sample-2	0.84	0.87	4	0	4	A-B,A-C,B-D,C-D	4	2	1	2	2,2	A-B,C-D|A-C,B-D	2,7	0	217	47	13	0.65	182,191,271,276,278,341,342,343,345,346,347,350,354	4	0	90.45054405587942	90.41945600756709	1.5823446728687471	1.5926230792159546	experiments/e158_c4_iptm90_joint_surrogate_af3_seed1/out_s0/ova_body_c4_97/seed-1_sample-2/ova_body_c4_97_seed-1_sample-2_model.cif
ova_body_c4_97	seed-1_sample-3	0.84	0.87	4	0	4	A-B,A-C,B-D,C-D	4	2	1	2	2,2	A-B,C-D|A-C,B-D	3,7	1	244	48	13	0.65	182,191,271,276,278,341,342,343,345,346,347,350,354	4	0	90.41026555688887	90.37256483957557	1.58315762648642	1.5906600052754216	experiments/e158_c4_iptm90_joint_surrogate_af3_seed1/out_s0/ova_body_c4_97/seed-1_sample-3/ova_body_c4_97_seed-1_sample-3_model.cif
ova_body_c4_97	seed-1_sample-4	0.85	0.87	2	0	6	A-B,A-C,A-D,B-C,B-D,C-D	4	3	1	3	2,2,2	A-B,C-D|A-C,B-D|A-D,B-C	2,8,6	1	236	51	13	0.65	182,191,271,276,278,341,342,343,345,346,347,350,354	4	0	89.88194957545385	89.84673569239483	1.629734146249868	1.6342949944582181	experiments/e158_c4_iptm90_joint_surrogate_af3_seed1/out_s0/ova_body_c4_97/seed-1_sample-4/ova_body_c4_97_seed-1_sample-4_model.cif
