source	chain_pair	category	unique_residue_pair_types	atom_level_events
OVA-C4-IPTM80-19B_AF3	B-C	Hydrophobic	2	33
OVA-C4-IPTM80-19B_AF3	B-C	HydrogenBond	0	0
OVA-C4-IPTM80-19B_AF3	B-C	SaltBridge	0	0
OVA-C4-IPTM80-19B_AF3	B-C	PiStacking	1	1
OVA-C4-IPTM80-19B_AF3	B-C	CationPi	0	0
OVA-C4-IPTM80-19B_AF3	B-C	VdWContact	2	25
OVA-C4-IPTM80-19B_AF3	B-D	Hydrophobic	7	14
OVA-C4-IPTM80-19B_AF3	B-D	HydrogenBond	4	5
OVA-C4-IPTM80-19B_AF3	B-D	SaltBridge	4	6
OVA-C4-IPTM80-19B_AF3	B-D	PiStacking	0	0
OVA-C4-IPTM80-19B_AF3	B-D	CationPi	0	0
OVA-C4-IPTM80-19B_AF3	B-D	VdWContact	26	54
OVA-C4-IPTM80-19B_AF3	C-D	Hydrophobic	7	18
OVA-C4-IPTM80-19B_AF3	C-D	HydrogenBond	2	2
OVA-C4-IPTM80-19B_AF3	C-D	SaltBridge	0	0
OVA-C4-IPTM80-19B_AF3	C-D	PiStacking	0	0
OVA-C4-IPTM80-19B_AF3	C-D	CationPi	0	0
OVA-C4-IPTM80-19B_AF3	C-D	VdWContact	12	24
OVA-C4-IPTM80-19B_Protenix	A-B	Hydrophobic	0	0
OVA-C4-IPTM80-19B_Protenix	A-B	HydrogenBond	0	0
OVA-C4-IPTM80-19B_Protenix	A-B	SaltBridge	0	0
OVA-C4-IPTM80-19B_Protenix	A-B	PiStacking	0	0
OVA-C4-IPTM80-19B_Protenix	A-B	CationPi	0	0
OVA-C4-IPTM80-19B_Protenix	A-B	VdWContact	0	0
OVA-C4-IPTM80-19B_Protenix	A-C	Hydrophobic	4	12
OVA-C4-IPTM80-19B_Protenix	A-C	HydrogenBond	0	0
OVA-C4-IPTM80-19B_Protenix	A-C	SaltBridge	0	0
OVA-C4-IPTM80-19B_Protenix	A-C	PiStacking	0	0
OVA-C4-IPTM80-19B_Protenix	A-C	CationPi	0	0
OVA-C4-IPTM80-19B_Protenix	A-C	VdWContact	17	60
OVA-C4-IPTM80-19B_Protenix	A-D	Hydrophobic	6	19
OVA-C4-IPTM80-19B_Protenix	A-D	HydrogenBond	0	0
OVA-C4-IPTM80-19B_Protenix	A-D	SaltBridge	0	0
OVA-C4-IPTM80-19B_Protenix	A-D	PiStacking	2	2
OVA-C4-IPTM80-19B_Protenix	A-D	CationPi	0	0
OVA-C4-IPTM80-19B_Protenix	A-D	VdWContact	12	43
OVA-C4-IPTM80-19B_Protenix	B-C	Hydrophobic	5	18
OVA-C4-IPTM80-19B_Protenix	B-C	HydrogenBond	0	0
